Player,AvgClubheadSpeed
Tag Ridings (2017),116.43
Cody Gribble (2017),116.39
Lucas Glover (2017),116.35
Andres Gonzales (2017),116.3
Paul Casey (2017),116.27
Billy Horschel (2017),116.12
Jim Herman (2017),116.11
Charles Howell III (2017),116.05
Robert Streb (2017),116.04
Brad Fritsch (2017),116.03
Ricky Barnes (2017),115.95
Stewart Cink (2017),115.88
Gonzalo Fernandez-Castaño (2017),115.8
Aaron Baddeley (2017),115.8
Rick Lamb (2017),115.79
Mackenzie Hughes (2017),115.69
Keegan Bradley (2017),115.67
Branden Grace (2017),115.63
Hunter Mahan (2017),115.58
J.T. Poston (2017),115.53
Martin Laird (2017),115.46
Mark Hubbard (2017),115.41
Byeong Hun An (2017),115.41
Sung Kang (2017),115.33
J.J. Spaun (2017),115.3
Pat Perez (2017),115.15
Rickie Fowler (2017),115.12
Sean O'Hair (2017),115.09
Adam Hadwin (2017),114.97
Scott Stallings (2017),114.96
Dominic Bozzelli (2017),114.66
Shane Lowry (2017),114.6
Jimmy Walker (2017),114.44
Emiliano Grillo (2017),114.39
Brett Drewitt (2017),114.35
Bill Haas (2017),114.33
Shawn Stefani (2017),114.32
Cameron Smith (2017),114.27
Phil Mickelson (2017),114.24
Louis Oosthuizen (2017),114.23
Si Woo Kim (2017),114.2
J.J. Henry (2017),114.17
Kevin Streelman (2017),114.04
Jonathan Randolph (2017),114.02
Patrick Cantlay (2017),113.94
Julián Etulain (2017),113.9
Luke Donald (2017),113.54
Patton Kizzire (2017),113.48
James Hahn (2017),113.38
Russell Henley (2017),113.37
Anirban Lahiri (2017),113.25
Rod Pampling (2017),113.2
Jason Dufner (2017),113.2
Ben Martin (2017),113.16
Fabián Gómez (2017),113.15
Jordan Spieth (2017),113.11
Tyrone Van Aswegen (2017),113.07
Boo Weekley (2017),113.02
Whee Kim (2017),112.95
Mark Anderson (2017),112.85
Danny Lee (2017),112.81
Roberto Castro (2017),112.8
Retief Goosen (2017),112.8
Scott Brown (2017),112.78
Bud Cauley (2017),112.76
Scott Piercy (2017),112.75
Kyle Stanley (2017),112.69
Sam Saunders (2017),112.48
Tom Hoge (2017),112.35
Brandt Snedeker (2017),112.3
Kevin Kisner (2017),112.22
Francesco Molinari (2017),112.22
Morgan Hoffmann (2017),112.21
Michael Thompson (2017),111.99
Geoff Ogilvy (2017),111.97
Kevin Na (2017),111.77
David Lingmerth (2017),111.77
