Player,Spin Rate OTT
Lee Westwood (2015),2579.4
Jim Herman (2015),2579
Martin Laird (2015),2576.4
Jim Renner (2015),2574.9
Geoff Ogilvy (2015),2571.8
Jordan Spieth (2015),2565.8
John Peterson (2015),2565.4
J.B. Holmes (2015),2564.1
Matt Kuchar (2015),2562.4
Brian Stuard (2015),2561.8
Davis Love III (2015),2560.5
Morgan Hoffmann (2015),2558.9
Steven Bowditch (2015),2557.3
Roger Sloan (2015),2556.6
Gary Woodland (2015),2552.9
Brendon Todd (2015),2552.2
Boo Weekley (2015),2547.6
Brendan Steele (2015),2546.4
Carlos Ortiz (2015),2540.3
Kevin Chappell (2015),2537.9
Fabián Gómez (2015),2537.7
Bill Lunde (2015),2536.6
Greg Owen (2015),2527.9
Henrik Stenson (2015),2527.6
Aaron Baddeley (2015),2525.7
Danny Lee (2015),2525
Jonas Blixt (2015),2524
Keegan Bradley (2015),2523.6
Whee Kim (2015),2521.4
Sam Saunders (2015),2520.9
Adam Scott (2015),2520.8
Erik Compton (2015),2512.7
Steven Alker (2015),2510.5
Ryan Palmer (2015),2509.2
Nicholas Thompson (2015),2508.4
Webb Simpson (2015),2499.3
Tyrone Van Aswegen (2015),2498.5
Charl Schwartzel (2015),2497.2
K.J. Choi (2015),2493.3
Scott Brown (2015),2491.5
Brian Davis (2015),2490.2
Shawn Stefani (2015),2488.2
Scott Piercy (2015),2482.5
Bo Van Pelt (2015),2482.1
Jonathan Randolph (2015),2481.1
Oscar Fraustro (2015),2479.8
Jason Dufner (2015),2479.6
Chez Reavie (2015),2472.1
J.J. Henry (2015),2471.4
Lucas Glover (2015),2471.2
Ben Crane (2015),2470.9
Kevin Kisner (2015),2470.2
Brice Garnett (2015),2467
Heath Slocum (2015),2465.5
Vijay Singh (2015),2464.6
Scott Langley (2015),2461.3
Graham DeLaet (2015),2451.7
Robert Garrigus (2015),2449.3
Camilo Villegas (2015),2446.3
Billy Horschel (2015),2440.7
Justin Rose (2015),2433.5
Chad Campbell (2015),2427.3
John Merrick (2015),2422.6
Rory Sabbatini (2015),2421.8
David Toms (2015),2414.9
James Hahn (2015),2411.5
Louis Oosthuizen (2015),2407.7
Johnson Wagner (2015),2404.2
Robert Allenby (2015),2397.5
Jason Kokrak (2015),2390.2
Mark Wilson (2015),2385.5
Sean O'Hair (2015),2385
Hunter Mahan (2015),2381.6
Jerry Kelly (2015),2378.2
Russell Knox (2015),2366.3
Zach Johnson (2015),2363.4
Chris Kirk (2015),2359.9
Daniel Berger (2015),2353.3
Dustin Johnson (2015),2340.2
Tim Wilkinson (2015),2340.2
Cameron Percy (2015),2337.8
David Hearn (2015),2332.2
Scott Stallings (2015),2330.1
Retief Goosen (2015),2326.7
Ryan Moore (2015),2323.1
Alex Cejka (2015),2317.3
Jeff Overton (2015),2313.3
Jason Day (2015),2299.2
Derek Fathauer (2015),2289.8
Justin Thomas (2015),2285.9
Brian Harman (2015),2281.4
Carl Pettersson (2015),2276.3
Andres Romero (2015),2272.1
Nick Taylor (2015),2265.7
Chesson Hadley (2015),2226.4
Ernie Els (2015),2056.8
Mark Hubbard (2016),3179.2
Smylie Kaufman (2016),2984.7
Freddie Jacobson (2016),2963.3
Patrick Reed (2016),2950.3
Derek Ernst (2016),2921.2
John Senden (2016),2920.8
Sergio Garcia (2016),2910.3
Kevin Na (2016),2886.3
Steve Stricker (2016),2873.2
Roberto Castro (2016),2867
Ben Martin (2016),2860
George McNeill (2016),2856.8
Brendon de Jonge (2016),2840.4
Luke Guthrie (2016),2822.3
Matt Jones (2016),2816.3
Graeme McDowell (2016),2814.2
Scott Pinckney (2016),2812
Luke Donald (2016),2811.1
Andrew Loupe (2016),2809
Bill Haas (2016),2803.1
Hiroshi Iwata (2016),2792.8
Robert Streb (2016),2777.5
William McGirt (2016),2777.4
Chad Collins (2016),2765.6
Rob Oppenheim (2016),2763.7
Jon Curran (2016),2763.1
Jhonattan Vegas (2016),2746.7
Troy Merritt (2016),2737
Geoff Ogilvy (2016),2728.5
Steve Marino (2016),2722.9
Marc Leishman (2016),2722
Colt Knost (2016),2721.6
Adam Hadwin (2016),2719.8
Phil Mickelson (2016),2709.4
Ken Duke (2016),2701.1
Charl Schwartzel (2016),2696.2
Charles Howell III (2016),2690.2
Charley Hoffman (2016),2686.3
David Hearn (2016),2671.2
Ángel Cabrera (2016),2669.3
Ricky Barnes (2016),2659.4
Rhein Gibson (2016),2656.4
Cameron Tringale (2016),2656.2
Tom Hoge (2016),2654.3
Cameron Smith (2016),2652.7
Billy Hurley III (2016),2651.3
Jamie Lovemark (2016),2648.3
D.H. Lee (2016),2637.4
Rickie Fowler (2016),2637
Tony Finau (2016),2632.7
Will Wilcox (2016),2628.3
Hideki Matsuyama (2016),2625.5
Brooks Koepka (2016),2623
Kevin Chappell (2016),2621.2
Thomas Aiken (2016),2621.1
Spencer Levin (2016),2615.6
Fabián Gómez (2016),2613.8
Seung-Yul Noh (2016),2610.6
Andres Gonzales (2016),2610.5
Dustin Johnson (2016),2610
Branden Grace (2016),2608.9
Michael Thompson (2016),2607
Brandt Snedeker (2016),2606.6
Jim Furyk (2016),2605.1
Steven Bowditch (2016),2605.1
Abraham Ancer (2016),2604.7
Graham DeLaet (2016),2603.6
Kevin Streelman (2016),2603.5
Jason Bohn (2016),2592.4
Greg Owen (2016),2591.9
Stuart Appleby (2016),2586.1
Hudson Swafford (2016),2585.8
Dicky Pride (2016),2583.6
Billy Horschel (2016),2582.8
Shane Lowry (2016),2582.1
Dawie van der Walt (2016),2581
David Lingmerth (2016),2578.9
Russell Knox (2016),2574.5
Aaron Baddeley (2016),2573.2
Matt Kuchar (2016),2567.4
Russell Henley (2016),2566.7
Rod Pampling (2016),2566.1
Shawn Stefani (2016),2564.9
Jason Gore (2016),2562.4
Adam Scott (2016),2559.5
Martin Piller (2016),2553.2
Chris Kirk (2016),2553.1
Emiliano Grillo (2016),2552.4
Luke List (2016),2548
Si Woo Kim (2016),2543.2
Peter Malnati (2016),2542.5
Bubba Watson (2016),2541.1
Carlos Ortiz (2016),2540.3
Chris Stroud (2016),2538.4
Harris English (2016),2538
Brian Stuard (2016),2534.6
Padraig Harrington (2016),2531.8
J.B. Holmes (2016),2530.2
Bryce Molder (2016),2526.9
Brendon Todd (2016),2521.2
Stewart Cink (2016),2520.6
Michael Kim (2016),2520.1
Jason Kokrak (2016),2516.5
Blayne Barber (2016),2514.1
Boo Weekley (2016),2511
Steve Wheatcroft (2016),2510.9
Danny Lee (2016),2510.4
Patton Kizzire (2016),2509.3
Gary Woodland (2016),2500.4
Rory McIlroy (2016),2494.8
Daniel Summerhays (2016),2494.6
Tyler Aldridge (2016),2493.5
Derek Fathauer (2016),2486.6
Bronson Burgoon (2016),2484.4
Erik Compton (2016),2483.2
Martin Laird (2016),2482.4
Henrik Norlander (2016),2481.3
Jim Herman (2016),2481
Alex Cejka (2016),2476.5
Kelly Kraft (2016),2475.5
Jerry Kelly (2016),2474.7
Chad Campbell (2016),2472.6
Webb Simpson (2016),2466.6
Morgan Hoffmann (2016),2463.5
Zac Blair (2016),2462.4
Louis Oosthuizen (2016),2457.4
Kyle Reifers (2016),2452.6
Paul Casey (2016),2439.4
Patrick Rodgers (2016),2437.4
K.J. Choi (2016),2431.8
Brett Stegmaier (2016),2426.3
Justin Thomas (2016),2423.1
Robert Allenby (2016),2422.6
Sung Kang (2016),2421.8
Brendan Steele (2016),2419.9
Keegan Bradley (2016),2418.1
Daniel Berger (2016),2417.3
Kevin Kisner (2016),2413
Jonas Blixt (2016),2412
Ben Crane (2016),2410.8
Scott Piercy (2016),2407.7
Jason Dufner (2016),2406
Camilo Villegas (2016),2398.6
James Hahn (2016),2398.5
Harold Varner III (2016),2396.8
Johnson Wagner (2016),2394.6
Sean O'Hair (2016),2389.9
J.J. Henry (2016),2388.6
Jeff Overton (2016),2382
Chez Reavie (2016),2380.8
Kyle Stanley (2016),2380.7
Scott Stallings (2016),2372.2
Mark Wilson (2016),2371.8
Tim Wilkinson (2016),2369.6
Vaughn Taylor (2016),2357.8
David Toms (2016),2355.9
Rory Sabbatini (2016),2346.9
Lucas Glover (2016),2346.5
Jimmy Walker (2016),2344.2
D.A. Points (2016),2341.7
Whee Kim (2016),2338.3
Hunter Mahan (2016),2336.3
Justin Rose (2016),2332.9
Tyrone Van Aswegen (2016),2332.6
Scott Langley (2016),2324.8
Wes Roach (2016),2323
Scott Brown (2016),2322.4
Anirban Lahiri (2016),2316.5
John Huh (2016),2311.9
Ryan Moore (2016),2292.8
Sam Saunders (2016),2287.3
Zach Johnson (2016),2284.7
Jordan Spieth (2016),2268.7
Nick Taylor (2016),2255.5
Ryan Palmer (2016),2254.3
Andrew Landry (2016),2250.7
Francesco Molinari (2016),2243.3
Will MacKenzie (2016),2232.6
Vijay Singh (2016),2227.5
Brian Harman (2016),2212.6
Retief Goosen (2016),2210.6
Chesson Hadley (2016),2207.4
Robert Garrigus (2016),2176.1
Jason Day (2016),2118.5
Ernie Els (2016),1966.9
Søren Kjeldsen (2017),3230.7
Mark Hubbard (2017),3201.1
Roberto Castro (2017),3198
Branden Grace (2017),3117.6
Luke Donald (2017),3062.4
Jhonattan Vegas (2017),2988.5
Brian Campbell (2017),2974.8
Ryan Armour (2017),2928.6
Tony Finau (2017),2924
Matt Jones (2017),2919
Bubba Watson (2017),2918.3
Pat Perez (2017),2910.4
Sergio Garcia (2017),2905.5
Charley Hoffman (2017),2905.2
Kevin Na (2017),2902.5
Marc Leishman (2017),2885.4
Aaron Baddeley (2017),2875.1
Brad Fritsch (2017),2869.2
Mackenzie Hughes (2017),2847.7
William McGirt (2017),2830.4
Adam Scott (2017),2823.4
Nick Watney (2017),2817.9
Mark Anderson (2017),2811.3
Brandt Snedeker (2017),2808.6
Brandon Hagy (2017),2808.2
Luke List (2017),2801.5
Bill Haas (2017),2789.4
Kevin Kisner (2017),2782.3
Bryce Molder (2017),2777.7
Patrick Reed (2017),2776.5
Geoff Ogilvy (2017),2773.9
Andrew Loupe (2017),2771.7
Jim Herman (2017),2761.3
David Hearn (2017),2752.3
Troy Merritt (2017),2751
Chad Campbell (2017),2750.8
J.B. Holmes (2017),2749.9
Boo Weekley (2017),2748.4
Jim Furyk (2017),2748.2
Graeme McDowell (2017),2735.1
Ryo Ishikawa (2017),2734.9
Steve Wheatcroft (2017),2733.2
Chad Collins (2017),2729.7
Rickie Fowler (2017),2723
Wesley Bryan (2017),2721.6
Harris English (2017),2711
Daniel Summerhays (2017),2704.2
Brett Drewitt (2017),2703.5
Charl Schwartzel (2017),2700.4
Spencer Levin (2017),2699.6
Peter Malnati (2017),2696
Paul Casey (2017),2693.6
Adam Hadwin (2017),2693
Scott Piercy (2017),2676.7
David Lingmerth (2017),2674.4
Patrick Rodgers (2017),2665.2
Brian Stuard (2017),2664.9
Ryan Blaum (2017),2663.8
Jason Bohn (2017),2662.5
Tag Ridings (2017),2658.4
Billy Hurley III (2017),2656.3
Russell Knox (2017),2655.8
Danny Lee (2017),2655.6
Michael Thompson (2017),2652.8
Steven Alker (2017),2652
Ken Duke (2017),2647.8
Sebastián Muñoz (2017),2642.9
Ian Poulter (2017),2639.5
Ricky Barnes (2017),2637.3
Steven Bowditch (2017),2634.9
Chris Stroud (2017),2631.7
Phil Mickelson (2017),2624.8
Ben Martin (2017),2624.7
Ben Crane (2017),2620
Fabián Gómez (2017),2615.4
Cameron Tringale (2017),2614.8
Ryan Brehm (2017),2609.9
Hideki Matsuyama (2017),2609.8
Tom Hoge (2017),2606.3
Richy Werenski (2017),2606.1
Robert Streb (2017),2603.1
Grayson Murray (2017),2601.9
Rory Sabbatini (2017),2597.1
Seamus Power (2017),2594.1
Smylie Kaufman (2017),2589.7
Dominic Bozzelli (2017),2588.1
Jamie Lovemark (2017),2587.6
Daniel Berger (2017),2585.3
Shane Lowry (2017),2584
Kelly Kraft (2017),2582.3
Scott Brown (2017),2581.8
Russell Henley (2017),2579.8
Matt Every (2017),2576.1
Greg Chalmers (2017),2573
Zac Blair (2017),2568.4
Sean O'Hair (2017),2564.6
J.J. Spaun (2017),2564.2
Seung-Yul Noh (2017),2563.5
Johnson Wagner (2017),2561.6
Tyrone Van Aswegen (2017),2561.5
Andres Gonzales (2017),2549.6
Gary Woodland (2017),2548.5
J.J. Henry (2017),2546.8
Martin Flores (2017),2546.4
Miguel Angel Carballo (2017),2542.4
Derek Fathauer (2017),2536.3
Kevin Chappell (2017),2535.4
Brooks Koepka (2017),2533.7
Rick Lamb (2017),2532.9
Kevin Tway (2017),2532.3
Kyle Stanley (2017),2530.6
Chris Kirk (2017),2529.6
Bryson DeChambeau (2017),2528.8
Jonathan Randolph (2017),2527
Louis Oosthuizen (2017),2515.4
Brendan Steele (2017),2511.8
Ollie Schniederjans (2017),2511.7
J.T. Poston (2017),2510
Anirban Lahiri (2017),2509.3
Vaughn Taylor (2017),2500.5
Emiliano Grillo (2017),2498.7
Bud Cauley (2017),2497.8
Keegan Bradley (2017),2495.2
Cameron Smith (2017),2494.4
Julián Etulain (2017),2494.2
Sam Saunders (2017),2486.4
Dustin Johnson (2017),2485.9
Hunter Mahan (2017),2481.5
Francesco Molinari (2017),2480.5
Whee Kim (2017),2477.1
Brian Gay (2017),2463.2
Kevin Streelman (2017),2462.1
Matt Kuchar (2017),2458.9
Charles Howell III (2017),2453.1
Patton Kizzire (2017),2452.7
Alex Cejka (2017),2450.4
Michael Kim (2017),2450.1
Jordan Spieth (2017),2449.2
Jimmy Walker (2017),2448.4
Morgan Hoffmann (2017),2447.8
Patrick Cantlay (2017),2445.1
Xander Schauffele (2017),2443.6
Ryan Palmer (2017),2439.2
Hudson Swafford (2017),2435.8
Si Woo Kim (2017),2435.1
Harold Varner III (2017),2433.5
Stewart Cink (2017),2423.9
Gonzalo Fernandez-Castaño (2017),2422.5
Chez Reavie (2017),2419.4
Martin Laird (2017),2412.1
Nick Taylor (2017),2410.6
Rafa Cabrera Bello (2017),2409.8
Carl Pettersson (2017),2406.6
Jason Dufner (2017),2401.8
Byeong Hun An (2017),2399.4
C.T. Pan (2017),2399.3
Trey Mullinax (2017),2398.6
Webb Simpson (2017),2388.5
Rod Pampling (2017),2377.5
Jason Kokrak (2017),2377.3
Blayne Barber (2017),2372.4
Ryan Moore (2017),2366.1
James Hahn (2017),2361.6
Justin Rose (2017),2361
Robert Garrigus (2017),2353.1
Zach Johnson (2017),2350.8
Lucas Glover (2017),2346.4
Graham DeLaet (2017),2328
Jonas Blixt (2017),2321
Rory McIlroy (2017),2319.9
Tim Wilkinson (2017),2310.4
Scott Stallings (2017),2309.3
Shawn Stefani (2017),2305.8
Billy Horschel (2017),2298.3
Brett Stegmaier (2017),2297.2
Justin Thomas (2017),2293.3
Sung Kang (2017),2290.3
Kyle Reifers (2017),2289.1
Retief Goosen (2017),2267
Jason Day (2017),2266.4
Brian Harman (2017),2265.8
K.J. Choi (2017),2265.6
Cody Gribble (2017),2249.1
Camilo Villegas (2017),2235.7
Jon Rahm (2017),2227.6
D.A. Points (2017),2227.3
John Huh (2017),2151
Nicholas Lindheim (2017),2087.9
Cameron Percy (2017),2058.3
Ernie Els (2017),2046.9
Conrad Shindler (2018),3359.4
"Ted Potter, Jr. (2018)",3152.8
Alex Noren (2018),3143.2
Pat Perez (2018),3127.4
Kevin Tway (2018),3026.3
Jhonattan Vegas (2018),3013.8
Patrick Reed (2018),3008.6
Adam Schenk (2018),3006.1
Matt Jones (2018),3004.9
Seamus Power (2018),2992.9
Peter Uihlein (2018),2965
Luke List (2018),2963.1
Sam Ryder (2018),2962.8
Bubba Watson (2018),2955.6
Adam Hadwin (2018),2952
Corey Conners (2018),2948.3
