Player,Sand Save %
Gonzalo Fernandez-Castaño (2015),45.45
Brendon de Jonge (2015),45.28
Russell Henley (2015),45.19
Tony Finau (2015),45.1
Camilo Villegas (2015),45.03
Byron Smith (2015),45
Keegan Bradley (2015),44.88
Jim Furyk (2015),44.59
Whee Kim (2015),44.57
Retief Goosen (2015),44.55
Johnson Wagner (2015),44.44
Oscar Fraustro (2015),43.53
Gary Woodland (2015),43.27
Russell Knox (2015),43.12
Tom Hoge (2015),42.86
Robert Garrigus (2015),42.7
Charles Howell III (2015),42.42
Robert Allenby (2015),42.35
Bo Van Pelt (2015),42.34
Ángel Cabrera (2015),42.06
Jason Dufner (2015),41.73
Hudson Swafford (2015),41.73
Alex Prugh (2015),41.51
Geoff Ogilvy (2015),41.33
Jim Renner (2015),41.11
Charlie Beljan (2015),40.94
John Merrick (2015),40.78
Derek Ernst (2015),40.57
J.J. Henry (2015),40.19
Fabián Gómez (2015),39.84
Patrick Rodgers (2015),39.56
Spencer Levin (2015),39.2
David Hearn (2015),38.97
Dustin Johnson (2015),38.6
Paul Casey (2015),38.46
Max Homa (2015),38.4
Chez Reavie (2015),37.5
Scott Piercy (2015),37.5
Davis Love III (2015),37.35
Andrew Svoboda (2015),37.17
Sean O'Hair (2016),62.42
Jason Day (2016),62.26
Phil Mickelson (2016),61.54
Jonas Blixt (2016),61.29
Aaron Baddeley (2016),61.07
Jon Curran (2016),61.05
Brendon Todd (2016),59.48
John Huh (2016),59.44
Robert Allenby (2016),59.15
Tyrone Van Aswegen (2016),58.96
Bryce Molder (2016),58.27
Martin Piller (2016),58.23
Michael Kim (2016),57.83
Sergio Garcia (2016),57.83
Padraig Harrington (2016),57.83
David Toms (2016),57.47
Steven Bowditch (2016),57.43
Chris Kirk (2016),57.42
Stuart Appleby (2016),57.27
Brandt Snedeker (2016),57.14
Russell Henley (2016),56.8
Danny Lee (2016),56.8
Patrick Reed (2016),56.71
Ben Crane (2016),56.59
Dicky Pride (2016),56.57
Kyle Reifers (2016),56.5
K.J. Choi (2016),56.25
Luke Donald (2016),56.16
Tim Wilkinson (2016),56.1
Brendan Steele (2016),55.96
Justin Rose (2016),55.46
Hiroshi Iwata (2016),55.41
Cameron Smith (2016),55.34
Marc Leishman (2016),55.32
Chad Campbell (2016),55.32
