 Player,Putt 15-20 % Made
Boo Weekley (2015),18.42
D.A. Points (2015),18.33
Tom Hoge (2015),18.33
Heath Slocum (2015),18.29
Chad Campbell (2015),18.27
Ryo Ishikawa (2015),18.25
Michael Putnam (2015),18.24
Bill Haas (2015),18.24
Martin Flores (2015),18.13
Jason Kokrak (2015),18.05
Scott Piercy (2015),17.96
Steven Alker (2015),17.92
Phil Mickelson (2015),17.92
Brooks Koepka (2015),17.91
Jim Herman (2015),17.88
Bill Lunde (2015),17.86
Nick Taylor (2015),17.76
Ben Crane (2015),17.65
Luke Guthrie (2015),17.61
Michael Thompson (2015),17.56
Tony Finau (2015),17.51
Carlos Ortiz (2015),17.5
Oscar Fraustro (2015),17.5
Cameron Percy (2015),17.46
Sangmoon Bae (2015),17.22
Chad Collins (2015),17.21
Kevin Kisner (2015),17.19
Derek Fathauer (2015),17.16
Pat Perez (2015),16.88
James Hahn (2015),16.79
Keegan Bradley (2015),16.67
Jerry Kelly (2015),16.67
Spencer Levin (2015),16.58
Sean O'Hair (2015),16.56
Luke Donald (2015),16.5
Gonzalo Fernandez-Castaño (2015),16.41
Vijay Singh (2015),16.41
Jeff Overton (2015),16.35
Jonathan Randolph (2015),16.24
Brendon Todd (2015),16.15
Jon Curran (2015),16.15
Daniel Summerhays (2015),16
Eric Axley (2015),16
Retief Goosen (2015),15.97
Matt Kuchar (2015),15.94
Jason Day (2015),15.89
Brice Garnett (2015),15.87
Russell Knox (2015),15.79
Steven Bowditch (2015),15.7
Graham DeLaet (2015),15.65
Max Homa (2015),15.56
John Merrick (2015),15.38
Nicholas Thompson (2015),15.38
Lucas Glover (2015),15.23
Charles Howell III (2015),15
Justin Thomas (2015),14.65
Andres Romero (2015),14.61
Marc Leishman (2015),14.58
David Lingmerth (2015),14.52
Louis Oosthuizen (2015),14.44
Mark Wilson (2015),14.29
Davis Love III (2015),14.29
Derek Ernst (2015),14.05
Chez Reavie (2015),14.02
Brian Harman (2015),13.92
Jim Furyk (2015),13.74
John Senden (2015),13.54
Tim Wilkinson (2015),13.46
Seung-Yul Noh (2015),13.46
Danny Lee (2015),13.44
Johnson Wagner (2015),13.43
Charley Hoffman (2015),13.42
Daniel Berger (2015),13.33
Alex Prugh (2015),13.29
Gary Woodland (2015),12.63
John Peterson (2015),12.57
Chris Stroud (2015),12.4
J.J. Henry (2015),11.45
Greg Owen (2015),11.39
Roger Sloan (2015),11.25
Roberto Castro (2015),11.11
Robert Allenby (2015),11
Byron Smith (2015),10.48
Jim Renner (2015),9.38
Sung Joon Park (2015),9.3
Geoff Ogilvy (2015),8.7
Fabián Gómez (2016),27.08
Jordan Spieth (2016),26.85
Chris Stroud (2016),26.45
Dustin Johnson (2016),25.86
Rory McIlroy (2016),25.77
Spencer Levin (2016),25.52
Brandt Snedeker (2016),24.46
Adam Hadwin (2016),24.4
Morgan Hoffmann (2016),24.37
Charl Schwartzel (2016),24.35
Steve Wheatcroft (2016),24.07
Ernie Els (2016),23.81
Jason Day (2016),23.81
Henrik Norlander (2016),23.81
Seung-Yul Noh (2016),23.78
Carlos Ortiz (2016),23.68
Zach Johnson (2016),23.45
Peter Malnati (2016),23.26
Daniel Summerhays (2016),23.2
J.B. Holmes (2016),22.73
Andrew Landry (2016),22.73
Daniel Berger (2016),22.7
Bryce Molder (2016),22.56
Ricky Barnes (2016),22.48
Martin Laird (2016),22.48
Jason Bohn (2016),22.4
Hudson Swafford (2016),22.28
Chesson Hadley (2016),22.22
Paul Casey (2016),22
Chris Kirk (2016),21.97
Kelly Kraft (2016),21.88
Hunter Mahan (2016),21.84
Phil Mickelson (2016),21.82
Jonas Blixt (2016),21.8
Luke Guthrie (2016),21.79
Bill Haas (2016),21.62
Justin Rose (2016),21.59
Rob Oppenheim (2016),21.59
Matt Kuchar (2016),21.58
Scott Pinckney (2016),21.53
Patton Kizzire (2016),21.52
David Toms (2016),21.36
Will Wilcox (2016),21.21
Ben Martin (2016),21.08
Steve Stricker (2016),21.05
Chad Collins (2016),21.01
Ken Duke (2016),21
Tom Hoge (2016),20.74
Johnson Wagner (2016),20.67
William McGirt (2016),20.67
Tim Wilkinson (2016),20.62
Brendon Todd (2016),20.62
Charley Hoffman (2016),20.59
Bronson Burgoon (2016),20.51
Harris English (2016),20.49
Rhein Gibson (2016),20.45
Blayne Barber (2016),20.42
Ryan Moore (2016),20.34
David Hearn (2016),20.34
Patrick Reed (2016),20.28
Martin Piller (2016),20.24
J.J. Henry (2016),20.17
Geoff Ogilvy (2016),20
Sean O'Hair (2016),20
Erik Compton (2016),20
Sam Saunders (2016),20
Hideki Matsuyama (2016),19.85
John Senden (2016),19.75
Hiroshi Iwata (2016),19.69
Aaron Baddeley (2016),19.59
Louis Oosthuizen (2016),19.59
Zac Blair (2016),19.58
Andrew Loupe (2016),19.57
Chad Campbell (2016),19.5
Michael Thompson (2016),19.47
Wes Roach (2016),19.4
Patrick Rodgers (2016),19.38
Scott Langley (2016),19.23
Jon Curran (2016),19.21
Danny Lee (2016),19.18
Scott Piercy (2016),19.09
Brooks Koepka (2016),19.09
Sergio Garcia (2016),19.05
Brian Harman (2016),19.02
Cameron Tringale (2016),18.84
Russell Knox (2016),18.71
Smylie Kaufman (2016),18.6
David Lingmerth (2016),18.46
Justin Thomas (2016),18.42
K.J. Choi (2016),18.4
Bubba Watson (2016),18.39
Billy Hurley III (2016),18.35
Kevin Kisner (2016),18.31
Si Woo Kim (2016),18.27
Tyler Aldridge (2016),18.18
Robert Garrigus (2016),18.11
Luke List (2016),18.1
Chez Reavie (2016),18.06
Jimmy Walker (2016),17.99
Robert Allenby (2016),17.86
James Hahn (2016),17.83
Graham DeLaet (2016),17.65
D.H. Lee (2016),17.65
Jhonattan Vegas (2016),17.61
Tony Finau (2016),17.53
Will MacKenzie (2016),17.52
Lucas Glover (2016),17.36
Matt Jones (2016),17.36
Freddie Jacobson (2016),17.33
Francesco Molinari (2016),17.31
Boo Weekley (2016),17.27
Keegan Bradley (2016),17.27
Robert Streb (2016),17.27
Adam Scott (2016),17.24
Kevin Na (2016),17.24
Mark Wilson (2016),17.2
Colt Knost (2016),17.14
Jason Gore (2016),16.98
Padraig Harrington (2016),16.92
Scott Brown (2016),16.89
Whee Kim (2016),16.8
Greg Owen (2016),16.79
Kyle Stanley (2016),16.67
Shane Lowry (2016),16.67
Camilo Villegas (2016),16.51
Brian Stuard (2016),16.5
Dicky Pride (2016),16.44
Rod Pampling (2016),16.44
Charles Howell III (2016),16.28
Andres Gonzales (2016),16.28
Webb Simpson (2016),16.22
Russell Henley (2016),16.2
Brendan Steele (2016),16.18
Kevin Chappell (2016),16.18
Marc Leishman (2016),16.15
George McNeill (2016),16.13
Sung Kang (2016),16.03
Derek Fathauer (2016),16.03
Jeff Overton (2016),16
Branden Grace (2016),16
Steven Bowditch (2016),15.96
Nick Taylor (2016),15.94
Ben Crane (2016),15.79
Ángel Cabrera (2016),15.74
Anirban Lahiri (2016),15.74
Jason Dufner (2016),15.59
Harold Varner III (2016),15.58
Dawie van der Walt (2016),15.57
Rickie Fowler (2016),15.57
Steve Marino (2016),15.53
Emiliano Grillo (2016),15.53
Troy Merritt (2016),15.52
Michael Kim (2016),15.44
Kyle Reifers (2016),15.43
Stewart Cink (2016),15.32
Billy Horschel (2016),15.31
D.A. Points (2016),15.29
Mark Hubbard (2016),15.15
Vijay Singh (2016),14.96
Jamie Lovemark (2016),14.77
Retief Goosen (2016),14.67
Ryan Palmer (2016),14.65
Graeme McDowell (2016),14.46
Roberto Castro (2016),14.38
Alex Cejka (2016),14.29
Scott Stallings (2016),14.29
Thomas Aiken (2016),14.13
Cameron Smith (2016),14.1
Tyrone Van Aswegen (2016),14.09
Jason Kokrak (2016),14
Gary Woodland (2016),13.99
Brendon de Jonge (2016),13.64
Luke Donald (2016),13.6
Jim Herman (2016),13.43
Shawn Stefani (2016),13.19
Jim Furyk (2016),12.94
Derek Ernst (2016),12.77
John Huh (2016),12.35
Stuart Appleby (2016),12
Jerry Kelly (2016),11.54
Abraham Ancer (2016),11.39
Kevin Streelman (2016),10.74
Rory Sabbatini (2016),10.61
Brett Stegmaier (2016),10.57
Vaughn Taylor (2016),10
Kevin Na (2017),28.57
Nicholas Lindheim (2017),28.26
Graeme McDowell (2017),28.05
Tag Ridings (2017),27.37
Brian Campbell (2017),26.32
