Player,Putt <10 % Made
Miguel Angel Carballo (2017),86.51
Hideki Matsuyama (2017),86.49
Jason Dufner (2017),86.46
Patton Kizzire (2017),86.41
Scott Stallings (2017),86.41
Retief Goosen (2017),86.41
Ben Crane (2017),86.3
Bud Cauley (2017),86.29
Morgan Hoffmann (2017),86.29
Kevin Streelman (2017),86.26
Nicholas Lindheim (2017),86.25
Cameron Percy (2017),86.23
Emiliano Grillo (2017),86.22
Jason Kokrak (2017),86.2
Francesco Molinari (2017),86.17
Branden Grace (2017),86.1
Russell Knox (2017),86.04
Brendan Steele (2017),86.03
Robert Garrigus (2017),86.03
Aaron Baddeley (2017),86.03
Rory McIlroy (2017),86.01
Bubba Watson (2017),85.99
Harold Varner III (2017),85.92
Brian Stuard (2017),85.87
Scott Piercy (2017),85.85
Byeong Hun An (2017),85.81
Jhonattan Vegas (2017),85.8
Anirban Lahiri (2017),85.79
Gary Woodland (2017),85.75
Luke List (2017),85.75
Sergio Garcia (2017),85.65
Kevin Na (2017),85.61
D.A. Points (2017),85.6
Brad Fritsch (2017),85.59
Brett Stegmaier (2017),85.53
Brett Drewitt (2017),85.44
Bryson DeChambeau (2017),85.4
Rory Sabbatini (2017),85.39
Justin Rose (2017),85.38
Zac Blair (2017),85.37
Ken Duke (2017),85.33
Steven Bowditch (2017),85.15
Matt Every (2017),85.1
Ryan Palmer (2017),85.08
Rod Pampling (2017),85.07
Adam Scott (2017),85.03
Si Woo Kim (2017),84.94
Boo Weekley (2017),83.9
Kevin Kisner (2018),91.18
Johnson Wagner (2018),90.29
Jason Day (2018),89.89
Webb Simpson (2018),89.83
Alex Noren (2018),89.73
Hunter Mahan (2018),89.62
Louis Oosthuizen (2018),89.58
Austin Cook (2018),89.54
Brett Stegmaier (2018),89.49
Michael Thompson (2018),89.45
Paul Casey (2018),89.42
Denny McCarthy (2018),89.4
Bud Cauley (2018),89.32
Patrick Rodgers (2018),89.3
Beau Hossler (2018),89.29
Nate Lashley (2018),89.24
Trey Mullinax (2018),89.18
Justin Rose (2018),89.14
Graeme McDowell (2018),89.12
Daniel Berger (2018),89.1
Greg Chalmers (2018),89.09
Peter Malnati (2018),88.96
William McGirt (2018),88.93
Derek Fathauer (2018),88.92
Billy Horschel (2018),88.9
Bronson Burgoon (2018),88.81
Nicholas Lindheim (2018),88.78
Seamus Power (2018),88.73
Rickie Fowler (2018),88.72
Justin Thomas (2018),88.7
Nick Watney (2018),88.67
Tyrone Van Aswegen (2018),88.57
Alex Cejka (2018),88.52
Bubba Watson (2018),88.48
Brian Stuard (2018),88.44
Jim Furyk (2018),88.42
Fabián Gómez (2018),88.41
Brian Gay (2018),88.41
Chris Kirk (2018),88.4
Jonas Blixt (2018),88.4
Ian Poulter (2018),88.38
Matt Kuchar (2018),88.37
Ollie Schniederjans (2018),88.33
Zach Johnson (2018),88.33
Andrew Landry (2018),88.29
Chesson Hadley (2018),88.28
Tyrrell Hatton (2018),88.28
Emiliano Grillo (2018),88.25
Cody Gribble (2018),88.22
Patrick Reed (2018),88.19
Bryson DeChambeau (2018),88.18
Jonathan Byrd (2018),88.16
James Hahn (2018),88.15
C.T. Pan (2018),88.15
Ethan Tracy (2018),88.13
Brice Garnett (2018),88.12
Danny Lee (2018),88.11
Abraham Ancer (2018),88.09
Ben Crane (2018),88.09
Cameron Smith (2018),88.07
Shawn Stefani (2018),88.07
Wesley Bryan (2018),88.04
Kevin Tway (2018),88.04
Rory McIlroy (2018),88.02
Scott Brown (2018),87.99
