Player,Avg Ball Speed
Hunter Mahan (2016),168.88
Patton Kizzire (2016),168.88
Chesson Hadley (2016),168.86
Emiliano Grillo (2016),168.82
Padraig Harrington (2016),168.78
Bill Haas (2016),168.55
Wes Roach (2016),168.52
Tyrone Van Aswegen (2016),168.51
Jordan Spieth (2016),168.42
Ben Martin (2016),168.27
George McNeill (2016),168.11
Adam Hadwin (2016),167.96
Nick Taylor (2016),167.9
Geoff Ogilvy (2016),167.74
James Hahn (2016),167.68
Anirban Lahiri (2016),167.4
Shawn Stefani (2016),167.32
Morgan Hoffmann (2016),167.31
Derek Fathauer (2016),167.29
Rob Oppenheim (2016),167.16
Michael Thompson (2016),167.15
Jason Gore (2016),166.96
Fabián Gómez (2016),166.87
Luke Guthrie (2016),166.75
Hiroshi Iwata (2016),166.65
Andrew Landry (2016),166.55
Boo Weekley (2016),166.54
Henrik Norlander (2016),166.5
Scott Brown (2016),166.46
Sam Saunders (2016),166.42
Chad Campbell (2016),166.32
J.J. Henry (2016),166.11
Kyle Reifers (2016),166.08
Retief Goosen (2016),166.07
Tom Hoge (2016),166.06
Kelly Kraft (2016),166.02
Ernie Els (2016),165.99
William McGirt (2016),165.95
Rod Pampling (2016),165.93
Brandt Snedeker (2016),165.92
Thomas Aiken (2016),165.77
Erik Compton (2016),165.75
Kyle Stanley (2016),165.68
Kevin Streelman (2016),165.66
Whee Kim (2016),165.65
Blayne Barber (2016),165.59
Mark Hubbard (2016),165.58
Camilo Villegas (2016),165.57
Danny Lee (2016),165.48
Brendon de Jonge (2016),165.47
Johnson Wagner (2016),165.45
Jonas Blixt (2016),165.43
Chris Stroud (2016),165.29
Martin Piller (2016),165.11
Roberto Castro (2016),165.06
Chris Kirk (2016),165.03
Daniel Summerhays (2016),164.96
Tyler Aldridge (2016),164.96
Luke Donald (2016),164.73
Freddie Jacobson (2016),164.65
Webb Simpson (2016),164.62
Troy Merritt (2016),164.58
Russell Knox (2016),164.54
Will MacKenzie (2016),164.25
Francesco Molinari (2016),164.06
Cameron Smith (2016),163.92
Michael Kim (2016),163.86
Graeme McDowell (2016),163.83
Steve Stricker (2016),163.72
Kevin Kisner (2016),163.71
John Huh (2016),163.65
Scott Langley (2016),163.6
Vijay Singh (2016),163.59
D.A. Points (2016),163.47
Rory Sabbatini (2016),163.39
David Lingmerth (2016),163.25
Chad Collins (2016),163.19
Cameron Tringale (2016),162.97
Matt Kuchar (2016),162.97
Jeff Overton (2016),162.96
Brian Harman (2016),162.94
Steve Wheatcroft (2016),162.75
Kevin Na (2016),162.58
Bryce Molder (2016),162.45
Chez Reavie (2016),162.02
Vaughn Taylor (2016),161.92
Ken Duke (2016),161.85
Stuart Appleby (2016),161.62
Robert Allenby (2016),161.4
Spencer Levin (2016),161.3
Alex Cejka (2016),161.22
Ryan Moore (2016),161.11
David Hearn (2016),160.74
Billy Hurley III (2016),160.35
Peter Malnati (2016),160.26
Tim Wilkinson (2016),160.17
Jason Bohn (2016),159.79
Abraham Ancer (2016),159.6
D.H. Lee (2016),159.33
Ben Crane (2016),159.21
Jim Furyk (2016),159.17
Dicky Pride (2016),158.86
Zach Johnson (2016),158.62
K.J. Choi (2016),158.46
Brendon Todd (2016),157.87
Brian Stuard (2016),157.81
Mark Wilson (2016),157.39
Jon Curran (2016),157.34
Jerry Kelly (2016),156.51
Zac Blair (2016),156.36
Colt Knost (2016),154.48
David Toms (2016),152.55
Brandon Hagy (2017),186.79
Ryan Brehm (2017),184.85
Jhonattan Vegas (2017),183.24
Andrew Loupe (2017),182.77
Tony Finau (2017),182.32
Kevin Tway (2017),181.83
Ollie Schniederjans (2017),181.37
Luke List (2017),181.07
Gary Woodland (2017),180.49
Rory McIlroy (2017),180.12
Patrick Rodgers (2017),180.12
Dustin Johnson (2017),180.06
Brooks Koepka (2017),180.03
Grayson Murray (2017),180.01
Trey Mullinax (2017),179.89
Bubba Watson (2017),179.88
Jason Kokrak (2017),179.65
J.B. Holmes (2017),179.44
Adam Scott (2017),177.78
Nick Watney (2017),177.7
Charl Schwartzel (2017),177.23
Kevin Chappell (2017),177.08
Jamie Lovemark (2017),176.96
Seamus Power (2017),176.48
Harris English (2017),176.34
Matt Jones (2017),176.22
Hudson Swafford (2017),176.15
Robert Garrigus (2017),176.04
Justin Thomas (2017),175.77
Jason Day (2017),175.51
Sergio Garcia (2017),175.13
Daniel Berger (2017),175.01
Jon Rahm (2017),174.97
Smylie Kaufman (2017),174.96
Marc Leishman (2017),174.87
Brendan Steele (2017),174.68
Tag Ridings (2017),174.44
Bryson DeChambeau (2017),174.39
Xander Schauffele (2017),174.34
Ryan Palmer (2017),174.12
Paul Casey (2017),174.12
Charles Howell III (2017),173.9
Andres Gonzales (2017),173.89
Harold Varner III (2017),173.85
Martin Flores (2017),173.75
Charley Hoffman (2017),173.67
Seung-Yul Noh (2017),173.53
Steven Bowditch (2017),173.13
Branden Grace (2017),173.05
Aaron Baddeley (2017),173.03
Robert Streb (2017),172.8
Sebastián Muñoz (2017),172.8
Stewart Cink (2017),172.67
Keegan Bradley (2017),172.6
Brian Campbell (2017),172.44
Lucas Glover (2017),172.41
Matt Every (2017),172.39
Rickie Fowler (2017),172.37
Hideki Matsuyama (2017),172.27
Byeong Hun An (2017),172.24
Martin Laird (2017),172.22
Graham DeLaet (2017),172.2
Jimmy Walker (2017),172.1
Scott Stallings (2017),172.06
Patrick Reed (2017),171.98
Sean O'Hair (2017),171.91
Rick Lamb (2017),171.75
Ricky Barnes (2017),171.62
Sung Kang (2017),171.61
Justin Rose (2017),171.57
Patrick Cantlay (2017),171.42
Mackenzie Hughes (2017),171.2
Shane Lowry (2017),171.13
Jim Herman (2017),171.1
Louis Oosthuizen (2017),171.05
Dominic Bozzelli (2017),170.79
Billy Horschel (2017),170.7
Phil Mickelson (2017),170.49
Cody Gribble (2017),170.37
Adam Hadwin (2017),170.28
J.T. Poston (2017),170.16
J.J. Henry (2017),170.07
Ryo Ishikawa (2017),169.99
Anirban Lahiri (2017),169.7
Hunter Mahan (2017),169.55
Jason Dufner (2017),169.54
Brad Fritsch (2017),169.52
Patton Kizzire (2017),169.46
Scott Piercy (2017),169.27
Russell Henley (2017),169.25
Jordan Spieth (2017),169.18
Cameron Smith (2017),169.03
Tyrone Van Aswegen (2017),169.01
Pat Perez (2017),168.97
Emiliano Grillo (2017),168.83
Bud Cauley (2017),168.59
Bill Haas (2017),168.53
Brett Drewitt (2017),168.4
Kyle Stanley (2017),168.2
Ben Martin (2017),168.14
Morgan Hoffmann (2017),167.96
Kevin Streelman (2017),167.96
James Hahn (2017),167.88
Shawn Stefani (2017),167.79
Boo Weekley (2017),167.76
Mark Anderson (2017),167.71
Danny Lee (2017),167.63
Gonzalo Fernandez-Castaño (2017),167.53
Si Woo Kim (2017),167.46
J.J. Spaun (2017),167.38
Blayne Barber (2017),167.21
Retief Goosen (2017),167.17
Julián Etulain (2017),167.09
Whee Kim (2017),167.08
Mark Hubbard (2017),166.88
David Lingmerth (2017),166.87
Jonathan Randolph (2017),166.83
Sam Saunders (2017),166.78
Kelly Kraft (2017),166.69
Richy Werenski (2017),166.68
Francesco Molinari (2017),166.66
Tom Hoge (2017),166.45
Nicholas Lindheim (2017),166.43
Derek Fathauer (2017),166.27
Michael Thompson (2017),166.11
Troy Merritt (2017),166.07
Chad Campbell (2017),166.04
Cameron Percy (2017),165.94
Jonas Blixt (2017),165.91
Brett Stegmaier (2017),165.82
Fabián Gómez (2017),165.71
Rory Sabbatini (2017),165.71
Rafa Cabrera Bello (2017),165.69
Miguel Angel Carballo (2017),165.63
Roberto Castro (2017),165.63
Ian Poulter (2017),165.53
Scott Brown (2017),165.48
C.T. Pan (2017),165.23
Michael Kim (2017),165.23
Camilo Villegas (2017),165.16
Kevin Kisner (2017),165.15
Rod Pampling (2017),165.13
Geoff Ogilvy (2017),165.11
Nick Taylor (2017),165.05
Brandt Snedeker (2017),164.93
Chris Kirk (2017),164.88
William McGirt (2017),164.54
Daniel Summerhays (2017),164.54
Chris Stroud (2017),164.52
Luke Donald (2017),164.44
Johnson Wagner (2017),164.39
Russell Knox (2017),164.28
Chad Collins (2017),164.1
Kyle Reifers (2017),163.67
Cameron Tringale (2017),163.56
Kevin Na (2017),163.48
Brian Harman (2017),163.3
Wesley Bryan (2017),163.17
Webb Simpson (2017),163.1
Steve Wheatcroft (2017),162.86
Carl Pettersson (2017),162.45
Ryan Blaum (2017),162.33
Ryan Moore (2017),162.32
Ryan Armour (2017),162.28
John Huh (2017),162.02
Matt Kuchar (2017),161.99
Ernie Els (2017),161.93
Zach Johnson (2017),161.46
D.A. Points (2017),161.14
Graeme McDowell (2017),161.07
Billy Hurley III (2017),160.99
Søren Kjeldsen (2017),160.96
Bryce Molder (2017),160.87
Alex Cejka (2017),160.85
Greg Chalmers (2017),160.83
Peter Malnati (2017),160.58
Vaughn Taylor (2017),160.5
Ben Crane (2017),160.35
Chez Reavie (2017),160.23
David Hearn (2017),159.93
Spencer Levin (2017),159.3
K.J. Choi (2017),159.05
Ken Duke (2017),159.03
Brian Stuard (2017),158.82
Brian Gay (2017),158.15
Tim Wilkinson (2017),157.81
Jason Bohn (2017),157.79
Jim Furyk (2017),157.46
Zac Blair (2017),157.43
Steven Alker (2017),156.24
Trey Mullinax (2018),182.22
Tony Finau (2018),181.74
Keith Mitchell (2018),181.68
Rory McIlroy (2018),181.57
Peter Uihlein (2018),181.57
Bubba Watson (2018),181.4
Jhonattan Vegas (2018),181.35
Dustin Johnson (2018),181.27
Kevin Tway (2018),181.25
Luke List (2018),181.24
Adam Scott (2018),180.85
Brooks Koepka (2018),180.65
Gary Woodland (2018),180.37
Tom Lovelady (2018),180.24
Lanto Griffin (2018),178.59
Nick Watney (2018),178.53
Grayson Murray (2018),178.34
Tiger Woods (2018),178.23
J.B. Holmes (2018),178.22
Seamus Power (2018),177.8
Adam Schenk (2018),177.58
Ollie Schniederjans (2018),177.43
Jason Kokrak (2018),177.41
Jon Rahm (2018),177.12
Kevin Chappell (2018),177.04
Patrick Rodgers (2018),177.01
Jason Day (2018),176.39
Byeong Hun An (2018),176.22
Robert Garrigus (2018),176.19
Justin Thomas (2018),176.17
Matt Jones (2018),176.11
Paul Casey (2018),175.97
Harris English (2018),175.75
Charl Schwartzel (2018),175.55
Bryson DeChambeau (2018),175.52
Tommy Fleetwood (2018),175.35
Brandon Harkins (2018),175.21
Charles Howell III (2018),174.85
Brendan Steele (2018),174.55
Henrik Stenson (2018),174.48
Talor Gooch (2018),174.46
Xander Schauffele (2018),174.34
Phil Mickelson (2018),174.07
Jimmy Walker (2018),173.97
Hudson Swafford (2018),173.93
Ryan Palmer (2018),173.8
Rickie Fowler (2018),173.7
Branden Grace (2018),173.69
Harold Varner III (2018),173.53
Patrick Reed (2018),173.5
Hideki Matsuyama (2018),173.41
Scott Stallings (2018),173.38
Alex Noren (2018),173.28
Marc Leishman (2018),173.1
Patrick Cantlay (2018),173.07
Justin Rose (2018),172.64
Tyrrell Hatton (2018),172.56
Charley Hoffman (2018),172.4
Corey Conners (2018),172.13
Jamie Lovemark (2018),172.07
Lucas Glover (2018),171.9
Patton Kizzire (2018),171.88
Aaron Wise (2018),171.85
J.T. Poston (2018),171.83
Shane Lowry (2018),171.81
Chesson Hadley (2018),171.81
Sean O'Hair (2018),171.76
Ethan Tracy (2018),171.76
Stewart Cink (2018),171.43
Robert Streb (2018),171.43
Louis Oosthuizen (2018),171.42
Keegan Bradley (2018),171.27
Martin Laird (2018),171.22
Dominic Bozzelli (2018),171.08
Martin Flores (2018),171
Mackenzie Hughes (2018),170.72
Aaron Baddeley (2018),170.68
Sam Saunders (2018),170.67
Jordan Spieth (2018),170.46
Bronson Burgoon (2018),170.27
Daniel Berger (2018),170.18
Matt Atkins (2018),170.18
Billy Horschel (2018),170.04
Cameron Smith (2018),169.98
Ricky Barnes (2018),169.94
Conrad Shindler (2018),169.92
Bill Haas (2018),169.91
Sam Ryder (2018),169.88
Stephan Jaeger (2018),169.4
Shawn Stefani (2018),169.38
Denny McCarthy (2018),169.32
Xinjun Zhang (2018),169.29
Kevin Streelman (2018),169.2
Emiliano Grillo (2018),169.17
Jason Dufner (2018),169.16
Matt Every (2018),169.1
Nate Lashley (2018),168.96
Francesco Molinari (2018),168.94
Hunter Mahan (2018),168.91
Sung Kang (2018),168.69
Brice Garnett (2018),168.59
Nicholas Lindheim (2018),168.57
Scott Piercy (2018),168.51
Pat Perez (2018),168.41
Kiradech Aphibarnrat (2018),168.4
Bud Cauley (2018),168.39
Cody Gribble (2018),168.33
Adam Hadwin (2018),168.2
Kyle Stanley (2018),168.09
Tyrone Van Aswegen (2018),167.96
Joel Dahmen (2018),167.94
James Hahn (2018),167.88
Russell Henley (2018),167.69
Abraham Ancer (2018),167.57
J.J. Henry (2018),167.53
Rafa Cabrera Bello (2018),167.46
C.T. Pan (2018),167.46
Ian Poulter (2018),167.36
Anirban Lahiri (2018),167.32
Andrew Putnam (2018),167.31
Beau Hossler (2018),167.31
