Player,Putt 10-15 % Made
Rod Pampling (2016),28.16
Shawn Stefani (2016),28.02
Fabián Gómez (2016),28
Tony Finau (2016),27.96
Lucas Glover (2016),27.89
Robert Streb (2016),27.88
Nick Taylor (2016),27.88
Tom Hoge (2016),27.87
Steve Wheatcroft (2016),27.81
Stewart Cink (2016),27.69
Hiroshi Iwata (2016),27.68
Will Wilcox (2016),27.45
Derek Ernst (2016),27.42
Jimmy Walker (2016),27.37
Graeme McDowell (2016),27.34
Ken Duke (2016),27.34
Henrik Norlander (2016),27.22
Roberto Castro (2016),26.97
Wes Roach (2016),26.92
Charles Howell III (2016),26.87
Chez Reavie (2016),26.84
Chesson Hadley (2016),26.83
Harold Varner III (2016),26.7
D.A. Points (2016),26.61
Jason Bohn (2016),26.49
Rory Sabbatini (2016),26.47
Brett Stegmaier (2016),26.46
Cameron Smith (2016),26.27
Jeff Overton (2016),26.21
Brendan Steele (2016),26.18
Jerry Kelly (2016),26.06
Matt Jones (2016),25.99
J.B. Holmes (2016),25.86
Alex Cejka (2016),25.85
James Hahn (2016),25.84
Troy Merritt (2016),25.79
Jason Dufner (2016),25.59
Scott Piercy (2016),25.58
Carlos Ortiz (2016),25.56
Chris Kirk (2016),25.49
Justin Rose (2016),25.35
Kevin Streelman (2016),25.26
Bill Haas (2016),25.16
Sergio Garcia (2016),25
Ben Martin (2016),25
Abraham Ancer (2016),25
Chad Campbell (2016),24.88
Colt Knost (2016),24.88
Keegan Bradley (2016),24.86
Mark Wilson (2016),24.85
Geoff Ogilvy (2016),24.8
Padraig Harrington (2016),24.79
Justin Thomas (2016),24.78
Ernie Els (2016),24.66
Dawie van der Walt (2016),24.59
J.J. Henry (2016),24.59
Robert Allenby (2016),24.19
Daniel Berger (2016),24.15
Scott Langley (2016),24.03
Rhein Gibson (2016),24.03
Danny Lee (2016),23.83
David Toms (2016),23.64
Patrick Rodgers (2016),23.53
Will MacKenzie (2016),23.24
Erik Compton (2016),23.24
Jason Kokrak (2016),23.12
Spencer Levin (2016),22.71
Kevin Chappell (2016),22.32
Francesco Molinari (2016),21.15
Michael Thompson (2017),42.73
Rickie Fowler (2017),41.36
Luke Donald (2017),39.17
Whee Kim (2017),38.64
Ernie Els (2017),37.76
Nicholas Lindheim (2017),36.92
Steve Wheatcroft (2017),36.84
Cody Gribble (2017),36.81
Michael Kim (2017),36.73
Stewart Cink (2017),36.57
Camilo Villegas (2017),36.53
Rafa Cabrera Bello (2017),36.36
Ben Crane (2017),36.36
Charl Schwartzel (2017),36.3
Adam Hadwin (2017),36.24
Sebastián Muñoz (2017),36.11
Brian Harman (2017),36
Gonzalo Fernandez-Castaño (2017),35.96
Justin Thomas (2017),35.83
Jon Rahm (2017),35.75
Martin Flores (2017),35.68
Francesco Molinari (2017),35.4
Matt Kuchar (2017),35.35
Brendan Steele (2017),35.29
Brandon Hagy (2017),35.24
Tom Hoge (2017),35.14
Ollie Schniederjans (2017),34.84
Nick Watney (2017),34.57
Adam Scott (2017),34.51
Graeme McDowell (2017),34.48
Kevin Kisner (2017),34.45
Bryson DeChambeau (2017),34.41
Patrick Reed (2017),34.4
Pat Perez (2017),34.36
Wesley Bryan (2017),34.25
Brian Stuard (2017),34.21
Jimmy Walker (2017),34.09
Jason Dufner (2017),34.03
Aaron Baddeley (2017),33.94
Sean O'Hair (2017),33.85
Marc Leishman (2017),33.84
Jim Furyk (2017),33.82
Matt Every (2017),33.73
Ryan Blaum (2017),33.73
Paul Casey (2017),33.67
Morgan Hoffmann (2017),33.65
Danny Lee (2017),33.63
Jason Day (2017),33.56
Troy Merritt (2017),33.51
Graham DeLaet (2017),33.51
Xander Schauffele (2017),33.49
Cameron Tringale (2017),33.33
Vaughn Taylor (2017),33.33
Justin Rose (2017),33.33
Russell Henley (2017),33.04
Søren Kjeldsen (2017),32.99
Geoff Ogilvy (2017),32.76
Zac Blair (2017),32.69
Shawn Stefani (2017),32.69
Brian Gay (2017),32.67
Chris Kirk (2017),32.66
Tag Ridings (2017),32.61
Brett Stegmaier (2017),32.56
Brooks Koepka (2017),32.51
Chad Collins (2017),32.48
Phil Mickelson (2017),32.46
Seung-Yul Noh (2017),32.3
Kevin Na (2017),32.26
David Lingmerth (2017),32.24
Hunter Mahan (2017),32.24
C.T. Pan (2017),32.2
Harris English (2017),32.18
Mackenzie Hughes (2017),32.1
Carl Pettersson (2017),32.1
Louis Oosthuizen (2017),32.03
Greg Chalmers (2017),31.98
Brian Campbell (2017),31.93
Dominic Bozzelli (2017),31.82
Luke List (2017),31.75
Shane Lowry (2017),31.67
Andres Gonzales (2017),31.65
Charley Hoffman (2017),31.6
Sergio Garcia (2017),31.58
Sung Kang (2017),31.49
Nick Taylor (2017),31.46
Kevin Streelman (2017),31.28
John Huh (2017),31.13
Gary Woodland (2017),31.12
Keegan Bradley (2017),31.02
Patton Kizzire (2017),30.93
Patrick Rodgers (2017),30.91
Scott Brown (2017),30.85
Emiliano Grillo (2017),30.84
Billy Horschel (2017),30.81
Andrew Loupe (2017),30.58
Grayson Murray (2017),30.57
Jamie Lovemark (2017),30.56
Ryan Moore (2017),30.43
Daniel Berger (2017),30.33
Robert Streb (2017),30.3
Harold Varner III (2017),30.13
Smylie Kaufman (2017),30.11
Fabián Gómez (2017),30.08
Julián Etulain (2017),30.07
Zach Johnson (2017),30
Ben Martin (2017),29.91
Bud Cauley (2017),29.88
Hudson Swafford (2017),29.86
William McGirt (2017),29.74
Charles Howell III (2017),29.71
Anirban Lahiri (2017),29.7
Kyle Stanley (2017),29.58
Ryan Brehm (2017),29.57
Martin Laird (2017),29.56
Johnson Wagner (2017),29.56
Blayne Barber (2017),29.55
Richy Werenski (2017),29.52
Bryce Molder (2017),29.48
Jonas Blixt (2017),29.27
Alex Cejka (2017),29.17
Cameron Percy (2017),29.08
Brett Drewitt (2017),29
Branden Grace (2017),28.95
J.B. Holmes (2017),28.88
Jhonattan Vegas (2017),28.87
Byeong Hun An (2017),28.83
Russell Knox (2017),28.83
Scott Piercy (2017),28.83
Brandt Snedeker (2017),28.47
Hideki Matsuyama (2017),28.4
Jim Herman (2017),28.4
Matt Jones (2017),28.37
J.J. Spaun (2017),28.36
Derek Fathauer (2017),28.34
Jordan Spieth (2017),28.33
Chez Reavie (2017),28.27
Ken Duke (2017),28.25
Steven Bowditch (2017),28.18
D.A. Points (2017),28.07
Bubba Watson (2017),28.05
Kelly Kraft (2017),28.02
Kevin Tway (2017),28.02
Webb Simpson (2017),27.98
Sam Saunders (2017),27.91
Mark Hubbard (2017),27.89
Mark Anderson (2017),27.88
Peter Malnati (2017),27.78
James Hahn (2017),27.78
Brad Fritsch (2017),27.78
Daniel Summerhays (2017),27.78
Ian Poulter (2017),27.78
Miguel Angel Carballo (2017),27.72
Spencer Levin (2017),27.72
K.J. Choi (2017),27.61
Bill Haas (2017),27.53
Seamus Power (2017),27.51
David Hearn (2017),27.5
Patrick Cantlay (2017),27.48
Rod Pampling (2017),27.37
Steven Alker (2017),27.33
Billy Hurley III (2017),27.17
Ryan Armour (2017),27.13
Scott Stallings (2017),27.04
Trey Mullinax (2017),26.98
Lucas Glover (2017),26.94
J.T. Poston (2017),26.92
Jason Bohn (2017),26.84
Tyrone Van Aswegen (2017),26.57
Jason Kokrak (2017),26.27
Tony Finau (2017),26.23
Boo Weekley (2017),26.14
Tim Wilkinson (2017),26.13
Chris Stroud (2017),25.95
Chad Campbell (2017),25.82
Retief Goosen (2017),25.78
Dustin Johnson (2017),25.77
Si Woo Kim (2017),25.61
Jonathan Randolph (2017),25.35
Roberto Castro (2017),25.32
J.J. Henry (2017),25.26
Cameron Smith (2017),25.12
Ricky Barnes (2017),25.12
Kyle Reifers (2017),24.86
Rick Lamb (2017),24.55
