Player,Location,Tournament
Michael Kim (2018),Illinois,John Deere Classic
Francesco Molinari (2018),Scotland,"The Open Championship
(British Open)"
Troy Merritt (2018),Kentucky,Barbasol Championship
Dustin Johnson (2018),Ontario,RBC Canadian Open
Justin Thomas (2018),Ohio,WGC-Bridgestone Invitational
Andrew Putnam (2018),Nevada,Barracuda Championship
Brooks Koepka (2018),Missouri,PGA Championship
Brandt Snedeker (2018),North Carolina,Wyndham Championship
Bryson DeChambeau (2018),New Jersey,The Northern Trust
Bryson DeChambeau (2018),Massachusetts,Dell Technologies Championship
Keegan Bradley (2018),Pennsylvania,BMW Championship
Tiger Woods (2018),Georgia,Tour Championship
Kevin Tway (2019),California,Safeway Open
Marc Leishman (2019),Malaysia,CIMB Classic
Brooks Koepka (2019),South Korea,CJ Cup
Xander Schauffele (2019),China,WGC-HSBC Champions
Cameron Champ (2019),Mississippi,Sanderson Farms Championship
Bryson DeChambeau (2019),Nevada,Shriners Hospitals for Children Open
Matt Kuchar (2019),Mexico,Mayakoba Golf Classic
Charles Howell III (2019),Georgia,RSM Classic
Xander Schauffele (2019),Hawaii,Sentry Tournament of Champions
Matt Kuchar (2019),Hawaii,Sony Open in Hawaii
Adam Long (2019),California,Desert Classic
Justin Rose (2019),California,Farmers Insurance Open
Rickie Fowler (2019),Arizona,Waste Management Phoenix Open
Phil Mickelson (2019),California,AT&T Pebble Beach Pro-Am
J. B. Holmes (2019),California,Genesis Open
Dustin Johnson (2019),Mexico,WGC-Mexico Championship
Martin Trainer (2019),Puerto Rico,Puerto Rico Open
Keith Mitchell (2019),Florida,The Honda Classic
Francesco Molinari (2019),Florida,Arnold Palmer Invitational
Rory McIlroy (2019),Florida,The Players Championship
Paul Casey (2019),Florida,Valspar Championship
Kevin Kisner (2019),Texas,WGC-Dell Technologies Match Play
Graeme McDowell (2019),Dominican Republic,Corales Puntacana Resort and Club Championship
Corey Conners (2019),Texas,Valero Texas Open
Tiger Woods (2019),Georgia,Masters Tournament
Pan Cheng-tsung (2019),South Carolina,RBC Heritage
Ryan Palmer (2019),Louisiana,Zurich Classic of New Orleans
Max Homa (2019),North Carolina,Wells Fargo Championship
Kang Sung-hoon (2019),Texas,AT&T Byron Nelson
Brooks Koepka (2019),New York,PGA Championship
Kevin Na (2019),Texas,Charles Schwab Challenge
Patrick Cantlay (2019),Ohio,The Memorial Tournament
Rory McIlroy (2019),Ontario,RBC Canadian Open
Gary Woodland (2019),California,U.S. Open
Chez Reavie (2019),Connecticut,Travelers Championship
Nate Lashley (2019),Michigan,Rocket Mortgage Classic
Matthew Wolff (2019),Minnesota,3M Open
Dylan Frittelli (2019),Illinois,John Deere Classic
Shane Lowry (2019),Northern Ireland,The Open Championship
Jim Herman (2019),Kentucky,Barbasol Championship
Brooks Koepka (2019),Tennessee,WGC-FedEx St. Jude Invitational
Collin Morikawa (2019),California,Barracuda Championship
J. T. Poston (2019),North Carolina,Wyndham Championship
Patrick Reed (2019),New Jersey,The Northern Trust
Justin Thomas (2019),Illinois,BMW Championship
Rory McIlroy (2019),Georgia,Tour Championship
