Player,Avg Approach <100
Steven Alker (2017),18.42
Sean O'Hair (2017),18.42
Derek Fathauer (2017),18.42
Mackenzie Hughes (2017),18.42
Ryan Palmer (2017),18.5
K.J. Choi (2017),18.5
Luke List (2017),18.5
Seung-Yul Noh (2017),18.5
Tony Finau (2017),18.5
Chris Kirk (2017),18.5
Gary Woodland (2017),18.5
Whee Kim (2017),18.5
Nick Taylor (2017),18.58
Byeong Hun An (2017),18.58
Brandon Hagy (2017),18.58
Russell Henley (2017),18.67
Harold Varner III (2017),18.67
Steven Bowditch (2017),18.75
Si Woo Kim (2017),18.75
Chad Campbell (2017),18.83
Julián Etulain (2017),18.92
Cameron Tringale (2017),18.92
John Huh (2017),18.92
Brett Drewitt (2017),18.92
J.J. Spaun (2017),18.92
Marc Leishman (2017),19
Kevin Chappell (2017),19
Jason Bohn (2017),19.08
Billy Horschel (2017),19.17
Zac Blair (2017),19.17
Retief Goosen (2017),19.33
Justin Rose (2017),19.33
Ben Crane (2017),19.33
Ben Martin (2017),19.33
Fabián Gómez (2017),19.42
Jamie Lovemark (2017),19.42
William McGirt (2017),19.42
Patrick Rodgers (2017),19.58
Geoff Ogilvy (2017),19.75
Andrew Loupe (2017),19.75
Kevin Streelman (2017),19.83
Tag Ridings (2017),19.92
Kevin Tway (2017),19.92
Chez Reavie (2017),20
Keegan Bradley (2017),20.08
C.T. Pan (2017),20.17
Jonas Blixt (2017),20.25
Jason Kokrak (2017),20.25
Cameron Percy (2017),20.42
Brett Stegmaier (2017),20.42
Ian Poulter (2017),20.67
Hunter Mahan (2017),20.67
Ernie Els (2017),20.75
Brian Campbell (2017),20.75
Harris English (2017),21.17
Jim Herman (2017),21.33
Graham DeLaet (2017),21.75
Daniel Summerhays (2017),21.83
Louis Oosthuizen (2017),22.67
Cody Gribble (2017),23.08
Anirban Lahiri (2017),23.17
Shane Lowry (2017),23.17
Robert Streb (2018),11.5
Tiger Woods (2018),12.75
Wesley Bryan (2018),13.08
Stewart Cink (2018),13.25
J.B. Holmes (2018),13.42
Jon Rahm (2018),13.5
Retief Goosen (2018),13.58
Ben Martin (2018),13.67
Justin Thomas (2018),13.67
Mackenzie Hughes (2018),13.67
Webb Simpson (2018),13.75
Peter Uihlein (2018),14.08
Brandt Snedeker (2018),14.17
Andrew Putnam (2018),14.17
Brian Gay (2018),14.33
Vaughn Taylor (2018),14.33
Corey Conners (2018),14.42
Ryan Armour (2018),14.5
Ricky Barnes (2018),14.58
Rory McIlroy (2018),14.67
C.T. Pan (2018),14.83
Chad Campbell (2018),14.92
J.J. Henry (2018),14.92
Zach Johnson (2018),15
Danny Lee (2018),15
Dustin Johnson (2018),15
Conrad Shindler (2018),15
Troy Merritt (2018),15.08
Byeong Hun An (2018),15.17
Ollie Schniederjans (2018),15.17
Jonathan Byrd (2018),15.25
Chris Stroud (2018),15.25
Tom Hoge (2018),15.25
Blayne Barber (2018),15.33
David Hearn (2018),15.42
Sung Kang (2018),15.42
Ryan Blaum (2018),15.5
Brandon Harkins (2018),15.5
Nick Taylor (2018),15.58
Michael Thompson (2018),15.58
Nicholas Lindheim (2018),15.58
Henrik Stenson (2018),15.67
Paul Casey (2018),15.67
Xander Schauffele (2018),15.67
Adam Scott (2018),15.83
Jamie Lovemark (2018),15.83
Brice Garnett (2018),15.83
Jason Day (2018),15.92
Tyrone Van Aswegen (2018),15.92
Bryson DeChambeau (2018),15.92
Dominic Bozzelli (2018),16
Abraham Ancer (2018),16
Rod Pampling (2018),16.08
Billy Hurley III (2018),16.08
Grayson Murray (2018),16.17
Cameron Tringale (2018),16.25
Nick Watney (2018),16.33
Rob Oppenheim (2018),16.33
Billy Horschel (2018),16.33
Ben Crane (2018),16.42
Andrew Landry (2018),16.42
Daniel Berger (2018),16.42
Charles Howell III (2018),16.5
Martin Laird (2018),16.5
Martin Flores (2018),16.5
Kevin Tway (2018),16.5
Pat Perez (2018),16.58
Brett Stegmaier (2018),16.58
Chris Kirk (2018),16.58
Ryan Palmer (2018),16.67
Jimmy Walker (2018),16.67
Jason Dufner (2018),16.75
Scott Piercy (2018),16.75
Hudson Swafford (2018),16.75
Kevin Na (2018),16.83
Ben Silverman (2018),16.83
Phil Mickelson (2018),16.92
Bubba Watson (2018),16.92
Nate Lashley (2018),16.92
Branden Grace (2018),16.92
Jason Kokrak (2018),16.92
Jim Furyk (2018),17
Bill Haas (2018),17
Patrick Reed (2018),17
Emiliano Grillo (2018),17.08
James Hahn (2018),17.08
Charley Hoffman (2018),17.17
Tommy Fleetwood (2018),17.17
Rickie Fowler (2018),17.17
David Lingmerth (2018),17.17
Tyler Duncan (2018),17.17
Kevin Kisner (2018),17.25
Cameron Smith (2018),17.25
Michael Kim (2018),17.25
Richy Werenski (2018),17.25
Aaron Wise (2018),17.25
Steve Wheatcroft (2018),17.33
Matt Jones (2018),17.33
Brian Stuard (2018),17.33
Si Woo Kim (2018),17.33
Robert Garrigus (2018),17.42
Daniel Summerhays (2018),17.42
Charl Schwartzel (2018),17.42
Ryan Moore (2018),17.42
Johnson Wagner (2018),17.42
Bronson Burgoon (2018),17.42
Keith Mitchell (2018),17.42
Alex Cejka (2018),17.5
Jordan Spieth (2018),17.5
Sam Ryder (2018),17.5
Gary Woodland (2018),17.58
