Player,Putt >20 % Made
Russell Henley (2016),8.75
Colt Knost (2016),8.73
Brendon Todd (2016),8.73
Derek Fathauer (2016),8.7
Steve Stricker (2016),8.66
Kyle Reifers (2016),8.63
George McNeill (2016),8.59
Tim Wilkinson (2016),8.51
Harris English (2016),8.5
Freddie Jacobson (2016),8.41
Michael Thompson (2016),8.28
Tom Hoge (2016),8.28
Jhonattan Vegas (2016),8.27
J.B. Holmes (2016),8.2
Peter Malnati (2016),8.13
Jonas Blixt (2016),8.11
Kevin Kisner (2016),8.09
Matt Kuchar (2016),8.05
Francesco Molinari (2016),8.05
Boo Weekley (2016),8.03
Rory Sabbatini (2016),8.02
Billy Horschel (2016),7.99
Alex Cejka (2016),7.97
Morgan Hoffmann (2016),7.94
Mark Hubbard (2016),7.92
Robert Garrigus (2016),7.9
Retief Goosen (2016),7.89
Patton Kizzire (2016),7.89
Robert Allenby (2016),7.87
Smylie Kaufman (2016),7.82
Matt Jones (2016),7.78
Steven Bowditch (2016),7.77
Zac Blair (2016),7.76
Brett Stegmaier (2016),7.71
Chris Stroud (2016),7.67
Wes Roach (2016),7.66
Vijay Singh (2016),7.63
David Lingmerth (2016),7.62
Chez Reavie (2016),7.6
Adam Scott (2016),7.53
Fabián Gómez (2016),7.47
Patrick Reed (2016),7.45
Paul Casey (2016),7.43
Danny Lee (2016),7.33
Andres Gonzales (2016),7.32
Hiroshi Iwata (2016),7.31
Jimmy Walker (2016),7.29
Rory McIlroy (2016),7.29
David Hearn (2016),7.28
Scott Pinckney (2016),7.28
Aaron Baddeley (2016),7.19
Sam Saunders (2016),7.17
Luke List (2016),7.16
Ken Duke (2016),7.14
Kevin Streelman (2016),7.11
Nick Taylor (2016),7.07
Daniel Berger (2016),7.07
Ángel Cabrera (2016),7.02
Patrick Rodgers (2016),7.02
Charley Hoffman (2016),7.01
Tony Finau (2016),6.99
Jason Gore (2016),6.96
Ricky Barnes (2016),6.94
Jamie Lovemark (2016),6.93
Hideki Matsuyama (2016),6.93
K.J. Choi (2016),6.92
Stuart Appleby (2016),6.9
Jason Kokrak (2016),6.9
Bryce Molder (2016),6.87
Louis Oosthuizen (2016),6.87
William McGirt (2016),6.87
Phil Mickelson (2016),6.83
Abraham Ancer (2016),6.83
Brian Stuard (2016),6.82
Chad Campbell (2016),6.79
Jeff Overton (2016),6.78
Sean O'Hair (2016),6.77
Webb Simpson (2016),6.75
Robert Streb (2016),6.73
Blayne Barber (2016),6.71
John Senden (2016),6.69
Kyle Stanley (2016),6.67
Martin Piller (2016),6.64
Mark Wilson (2016),6.63
Charl Schwartzel (2016),6.6
Ryan Palmer (2016),6.56
Henrik Norlander (2016),6.54
Scott Langley (2016),6.52
Dawie van der Walt (2016),6.5
Spencer Levin (2016),6.47
Jim Furyk (2016),6.45
Rhein Gibson (2016),6.44
Bubba Watson (2016),6.41
Adam Hadwin (2016),6.41
Si Woo Kim (2016),6.39
Harold Varner III (2016),6.37
Branden Grace (2016),6.35
Luke Donald (2016),6.33
Scott Brown (2016),6.31
Padraig Harrington (2016),6.3
Marc Leishman (2016),6.28
Rob Oppenheim (2016),6.25
Thomas Aiken (2016),6.17
Cameron Smith (2016),6.16
Brian Harman (2016),6.12
Brandt Snedeker (2016),6.12
Jim Herman (2016),6.12
Bronson Burgoon (2016),6.08
Erik Compton (2016),6.05
Seung-Yul Noh (2016),6.05
Ben Crane (2016),6.04
Chesson Hadley (2016),6.03
Andrew Landry (2016),6.01
Sung Kang (2016),5.99
Hudson Swafford (2016),5.99
Will MacKenzie (2016),5.93
Scott Piercy (2016),5.91
Steve Wheatcroft (2016),5.91
Cameron Tringale (2016),5.91
Justin Thomas (2016),5.9
Will Wilcox (2016),5.9
Roberto Castro (2016),5.89
Chris Kirk (2016),5.87
Jerry Kelly (2016),5.84
Jon Curran (2016),5.8
Sergio Garcia (2016),5.79
Dustin Johnson (2016),5.79
Emiliano Grillo (2016),5.78
Gary Woodland (2016),5.77
Brendan Steele (2016),5.71
Lucas Glover (2016),5.69
Brendon de Jonge (2016),5.6
Steve Marino (2016),5.6
Billy Hurley III (2016),5.59
Greg Owen (2016),5.57
Justin Rose (2016),5.56
Rickie Fowler (2016),5.53
James Hahn (2016),5.51
Troy Merritt (2016),5.49
J.J. Henry (2016),5.29
Russell Knox (2016),5.29
D.H. Lee (2016),5.28
Chad Collins (2016),5.25
Carlos Ortiz (2016),5.25
David Toms (2016),5.19
Derek Ernst (2016),5.19
Kevin Chappell (2016),5.18
Jason Bohn (2016),5.15
John Huh (2016),5.1
Tyler Aldridge (2016),5.09
Martin Laird (2016),5.07
Tyrone Van Aswegen (2016),5.04
Geoff Ogilvy (2016),4.98
Anirban Lahiri (2016),4.92
Graham DeLaet (2016),4.89
Shawn Stefani (2016),4.86
Bill Haas (2016),4.8
Stewart Cink (2016),4.64
Graeme McDowell (2016),4.63
Hunter Mahan (2016),4.61
Vaughn Taylor (2016),4.37
Whee Kim (2016),4.27
Keegan Bradley (2016),4.11
Kelly Kraft (2016),3.98
Scott Stallings (2016),3.74
Zac Blair (2017),11.21
Brooks Koepka (2017),10.99
Kevin Na (2017),10.85
Brandt Snedeker (2017),10.82
Jordan Spieth (2017),10.82
Peter Malnati (2017),10.73
Sebastián Muñoz (2017),10
Cody Gribble (2017),9.79
Graeme McDowell (2017),9.76
Jason Day (2017),9.73
Michael Thompson (2017),9.72
Rickie Fowler (2017),9.65
Patrick Cantlay (2017),9.57
Xander Schauffele (2017),9.5
Justin Rose (2017),9.46
Blayne Barber (2017),9.41
Sam Saunders (2017),9.39
D.A. Points (2017),9.31
Steve Wheatcroft (2017),9.21
Stewart Cink (2017),9.15
Vaughn Taylor (2017),9.03
Steven Bowditch (2017),9.02
Camilo Villegas (2017),9.01
Jonas Blixt (2017),8.98
Bryce Molder (2017),8.92
Justin Thomas (2017),8.81
Wesley Bryan (2017),8.8
Rory Sabbatini (2017),8.71
David Lingmerth (2017),8.64
Brian Stuard (2017),8.55
Russell Henley (2017),8.51
Adam Scott (2017),8.4
Morgan Hoffmann (2017),8.38
Kevin Tway (2017),8.29
Matt Every (2017),8.28
Ricky Barnes (2017),8.25
Jimmy Walker (2017),8.24
Phil Mickelson (2017),8.24
Jim Furyk (2017),8.21
Tony Finau (2017),8.21
Brian Gay (2017),8.18
Whee Kim (2017),8.17
Patrick Rodgers (2017),8.11
Jon Rahm (2017),8.1
Kyle Reifers (2017),8.1
Billy Hurley III (2017),8.1
Nick Watney (2017),8.08
J.B. Holmes (2017),8.05
Kevin Kisner (2017),8.05
Mackenzie Hughes (2017),8.05
Daniel Berger (2017),7.97
Zach Johnson (2017),7.97
Dustin Johnson (2017),7.93
Patton Kizzire (2017),7.89
Billy Horschel (2017),7.89
Tom Hoge (2017),7.83
John Huh (2017),7.83
Chad Campbell (2017),7.81
Seamus Power (2017),7.73
Marc Leishman (2017),7.73
Rick Lamb (2017),7.73
Johnson Wagner (2017),7.71
Tim Wilkinson (2017),7.66
Ryan Armour (2017),7.64
Gonzalo Fernandez-Castaño (2017),7.59
Boo Weekley (2017),7.57
Brendan Steele (2017),7.52
Sung Kang (2017),7.49
Hideki Matsuyama (2017),7.49
Louis Oosthuizen (2017),7.49
Pat Perez (2017),7.47
Jason Dufner (2017),7.44
Anirban Lahiri (2017),7.43
Martin Laird (2017),7.42
Seung-Yul Noh (2017),7.42
Chez Reavie (2017),7.42
Fabián Gómez (2017),7.41
Nicholas Lindheim (2017),7.36
Spencer Levin (2017),7.29
Patrick Reed (2017),7.27
Andres Gonzales (2017),7.26
Matt Kuchar (2017),7.24
Jason Bohn (2017),7.24
Danny Lee (2017),7.19
Grayson Murray (2017),7.19
Brian Harman (2017),7.17
Webb Simpson (2017),7.16
Ryan Brehm (2017),7.12
Emiliano Grillo (2017),7.12
Tag Ridings (2017),7.07
Ernie Els (2017),7.04
Sean O'Hair (2017),7.03
Luke List (2017),7.02
Luke Donald (2017),7
Bubba Watson (2017),6.97
David Hearn (2017),6.97
Rory McIlroy (2017),6.93
Paul Casey (2017),6.85
Brett Drewitt (2017),6.84
Mark Hubbard (2017),6.81
Adam Hadwin (2017),6.79
Kevin Streelman (2017),6.78
Robert Garrigus (2017),6.77
Carl Pettersson (2017),6.73
Si Woo Kim (2017),6.73
K.J. Choi (2017),6.69
Miguel Angel Carballo (2017),6.67
Shawn Stefani (2017),6.67
Geoff Ogilvy (2017),6.65
Graham DeLaet (2017),6.6
Lucas Glover (2017),6.58
Harris English (2017),6.54
Francesco Molinari (2017),6.52
Scott Piercy (2017),6.51
Daniel Summerhays (2017),6.5
Greg Chalmers (2017),6.5
Keegan Bradley (2017),6.49
Kevin Chappell (2017),6.47
Shane Lowry (2017),6.41
Smylie Kaufman (2017),6.4
Matt Jones (2017),6.34
Chris Kirk (2017),6.33
Jason Kokrak (2017),6.33
Scott Brown (2017),6.33
J.J. Spaun (2017),6.32
Ben Martin (2017),6.31
Charles Howell III (2017),6.31
Jamie Lovemark (2017),6.29
Martin Flores (2017),6.28
Troy Merritt (2017),6.28
Byeong Hun An (2017),6.25
Trey Mullinax (2017),6.25
