Player,Avg Approach >100
Kyle Reifers (2015),34.42
Steve Wheatcroft (2015),34.5
Martin Flores (2015),34.5
Charl Schwartzel (2015),34.67
Ben Crane (2015),34.67
Sean O'Hair (2015),34.67
Matt Kuchar (2015),34.75
John Huh (2015),34.92
Cameron Tringale (2015),35
John Senden (2015),35.17
Morgan Hoffmann (2015),35.33
Greg Chalmers (2015),35.75
Matt Jones (2015),36.33
Jamie Donaldson (2015),36.83
Geoff Ogilvy (2015),37.25
Sergio Garcia (2015),37.42
Hunter Mahan (2015),37.42
Robert Garrigus (2016),27.42
Adam Scott (2016),28
Dustin Johnson (2016),29.33
Tom Hoge (2016),29.5
Jason Dufner (2016),29.83
Vaughn Taylor (2016),29.92
Justin Thomas (2016),30.08
Tim Wilkinson (2016),30.17
Ryan Moore (2016),30.17
Daniel Berger (2016),30.17
Jim Furyk (2016),30.25
Michael Thompson (2016),30.25
David Hearn (2016),30.42
Tyrone Van Aswegen (2016),30.5
Chesson Hadley (2016),30.67
Keegan Bradley (2016),30.75
Hudson Swafford (2016),30.75
Rory McIlroy (2016),30.83
Hideki Matsuyama (2016),30.83
Russell Knox (2016),30.83
Henrik Norlander (2016),31
Kelly Kraft (2016),31
Jason Gore (2016),31.08
J.B. Holmes (2016),31.08
Webb Simpson (2016),31.08
Brendan Steele (2016),31.08
Phil Mickelson (2016),31.17
Rod Pampling (2016),31.17
Brooks Koepka (2016),31.17
Jerry Kelly (2016),31.25
K.J. Choi (2016),31.25
Kevin Kisner (2016),31.25
Kyle Stanley (2016),31.25
Derek Ernst (2016),31.25
Bubba Watson (2016),31.33
Chez Reavie (2016),31.33
Billy Hurley III (2016),31.33
Robert Streb (2016),31.33
Wes Roach (2016),31.33
Ryan Palmer (2016),31.42
Kevin Chappell (2016),31.42
Emiliano Grillo (2016),31.5
D.A. Points (2016),31.58
Jason Kokrak (2016),31.58
Kevin Na (2016),31.67
Lucas Glover (2016),31.67
Andres Gonzales (2016),31.67
Brian Stuard (2016),31.67
Paul Casey (2016),31.75
Brett Stegmaier (2016),31.75
Chris Kirk (2016),31.75
Russell Henley (2016),31.75
Branden Grace (2016),31.83
Greg Owen (2016),31.92
Zach Johnson (2016),32
Francesco Molinari (2016),32
Louis Oosthuizen (2016),32
Scott Stallings (2016),32
Luke Guthrie (2016),32
Blayne Barber (2016),32
Robert Allenby (2016),32.08
George McNeill (2016),32.08
Patton Kizzire (2016),32.08
Thomas Aiken (2016),32.17
Sam Saunders (2016),32.17
Tyler Aldridge (2016),32.17
Will MacKenzie (2016),32.25
Jhonattan Vegas (2016),32.25
Gary Woodland (2016),32.25
Rickie Fowler (2016),32.25
Ben Martin (2016),32.25
Will Wilcox (2016),32.25
Chad Campbell (2016),32.33
Charley Hoffman (2016),32.33
Ricky Barnes (2016),32.33
Boo Weekley (2016),32.33
Rob Oppenheim (2016),32.33
Seung-Yul Noh (2016),32.33
Troy Merritt (2016),32.33
Shawn Stefani (2016),32.33
Abraham Ancer (2016),32.33
Nick Taylor (2016),32.42
Spencer Levin (2016),32.42
Camilo Villegas (2016),32.42
Dawie van der Walt (2016),32.42
Jordan Spieth (2016),32.42
Alex Cejka (2016),32.5
Marc Leishman (2016),32.5
Graham DeLaet (2016),32.5
Chris Stroud (2016),32.5
Jason Bohn (2016),32.58
Martin Laird (2016),32.58
D.H. Lee (2016),32.58
Bronson Burgoon (2016),32.58
David Toms (2016),32.67
Matt Kuchar (2016),32.67
Graeme McDowell (2016),32.67
Jimmy Walker (2016),32.67
William McGirt (2016),32.67
Martin Piller (2016),32.67
Patrick Rodgers (2016),32.67
Harold Varner III (2016),32.67
Luke Donald (2016),32.75
John Huh (2016),32.75
Matt Jones (2016),32.83
Johnson Wagner (2016),32.83
Harris English (2016),32.83
Roberto Castro (2016),32.92
Stewart Cink (2016),33
Freddie Jacobson (2016),33
Michael Kim (2016),33
Scott Piercy (2016),33.08
Andrew Landry (2016),33.08
Carlos Ortiz (2016),33.08
Jon Curran (2016),33.08
Patrick Reed (2016),33.08
Mark Hubbard (2016),33.08
Smylie Kaufman (2016),33.08
Steve Stricker (2016),33.17
Mark Wilson (2016),33.17
Geoff Ogilvy (2016),33.17
Charl Schwartzel (2016),33.17
Billy Horschel (2016),33.17
Rhein Gibson (2016),33.17
Vijay Singh (2016),33.25
Justin Rose (2016),33.25
Tony Finau (2016),33.25
Adam Hadwin (2016),33.25
David Lingmerth (2016),33.25
Andrew Loupe (2016),33.25
Stuart Appleby (2016),33.33
Ken Duke (2016),33.33
Danny Lee (2016),33.33
Derek Fathauer (2016),33.33
Jim Herman (2016),33.33
Dicky Pride (2016),33.42
Charles Howell III (2016),33.42
Luke List (2016),33.42
Colt Knost (2016),33.42
James Hahn (2016),33.42
Cameron Smith (2016),33.5
Sean O'Hair (2016),33.58
Chad Collins (2016),33.58
Jason Day (2016),33.58
Scott Brown (2016),33.58
Brendon de Jonge (2016),33.67
Erik Compton (2016),33.75
Brandt Snedeker (2016),33.75
Sung Kang (2016),33.75
Si Woo Kim (2016),33.75
Anirban Lahiri (2016),33.83
Steve Wheatcroft (2016),33.92
Bill Haas (2016),34
Kevin Streelman (2016),34
Cameron Tringale (2016),34
Retief Goosen (2016),34.08
Bryce Molder (2016),34.08
Morgan Hoffmann (2016),34.08
John Senden (2016),34.17
Kyle Reifers (2016),34.17
Brian Harman (2016),34.25
Shane Lowry (2016),34.25
Hiroshi Iwata (2016),34.33
Aaron Baddeley (2016),34.42
Scott Pinckney (2016),34.42
Ben Crane (2016),34.58
Steve Marino (2016),34.67
Fabián Gómez (2016),34.67
Whee Kim (2016),34.83
Padraig Harrington (2016),34.92
Ángel Cabrera (2016),34.92
Ernie Els (2016),35.08
Jeff Overton (2016),35.08
J.J. Henry (2016),35.17
Jonas Blixt (2016),35.17
Daniel Summerhays (2016),35.42
Zac Blair (2016),35.42
Peter Malnati (2016),35.75
Steven Bowditch (2016),36
Rory Sabbatini (2016),36.08
Sergio Garcia (2016),36.17
Jamie Lovemark (2016),37.08
Brendon Todd (2016),38.17
Hunter Mahan (2016),38.33
Scott Langley (2016),38.42
Tom Hoge (2017),29.17
Dustin Johnson (2017),29.67
Robert Garrigus (2017),29.75
Nick Watney (2017),29.92
Kevin Na (2017),30
Kyle Stanley (2017),30.17
Brad Fritsch (2017),30.25
Hideki Matsuyama (2017),30.25
Ryan Palmer (2017),30.42
Scott Piercy (2017),30.42
Justin Thomas (2017),30.42
Rick Lamb (2017),30.42
Chad Campbell (2017),30.5
Grayson Murray (2017),30.58
Chez Reavie (2017),30.75
Rickie Fowler (2017),30.75
Daniel Berger (2017),30.75
Ollie Schniederjans (2017),30.75
Scott Stallings (2017),30.83
Jordan Spieth (2017),30.83
Ryan Armour (2017),30.92
Tag Ridings (2017),30.92
David Hearn (2017),30.92
Richy Werenski (2017),30.92
Stewart Cink (2017),31
Ben Martin (2017),31
Tyrone Van Aswegen (2017),31.08
Gary Woodland (2017),31.08
Hudson Swafford (2017),31.08
Brett Drewitt (2017),31.08
Blayne Barber (2017),31.08
Steven Alker (2017),31.17
Brooks Koepka (2017),31.17
Retief Goosen (2017),31.25
Boo Weekley (2017),31.25
Graham DeLaet (2017),31.25
Wesley Bryan (2017),31.25
Jim Furyk (2017),31.33
Rory Sabbatini (2017),31.33
Johnson Wagner (2017),31.33
Kevin Kisner (2017),31.33
Patton Kizzire (2017),31.33
Russell Knox (2017),31.33
J.B. Holmes (2017),31.42
Camilo Villegas (2017),31.42
Chris Kirk (2017),31.42
Harold Varner III (2017),31.42
Nicholas Lindheim (2017),31.5
Luke List (2017),31.58
Trey Mullinax (2017),31.58
J.T. Poston (2017),31.58
Kevin Streelman (2017),31.67
Webb Simpson (2017),31.67
Brett Stegmaier (2017),31.67
Andres Gonzales (2017),31.67
Shawn Stefani (2017),31.67
Seamus Power (2017),31.75
Troy Merritt (2017),31.75
Michael Kim (2017),31.75
Smylie Kaufman (2017),31.75
Julián Etulain (2017),31.83
Anirban Lahiri (2017),31.83
Keegan Bradley (2017),31.83
Mark Hubbard (2017),31.83
Sergio Garcia (2017),31.92
Justin Rose (2017),31.92
Tony Finau (2017),31.92
Ryo Ishikawa (2017),31.92
Derek Fathauer (2017),31.92
Brian Stuard (2017),31.92
Cameron Percy (2017),32
Paul Casey (2017),32
Alex Cejka (2017),32.08
Jason Dufner (2017),32.08
Lucas Glover (2017),32.08
Brendan Steele (2017),32.08
Shane Lowry (2017),32.08
Jon Rahm (2017),32.08
Vaughn Taylor (2017),32.17
Brian Campbell (2017),32.17
Cameron Smith (2017),32.25
Emiliano Grillo (2017),32.33
Kevin Chappell (2017),32.33
Sebastián Muñoz (2017),32.33
Jason Bohn (2017),32.42
Ricky Barnes (2017),32.42
Marc Leishman (2017),32.42
Matt Every (2017),32.42
Martin Flores (2017),32.42
Danny Lee (2017),32.42
Bud Cauley (2017),32.42
Sam Saunders (2017),32.5
Andrew Loupe (2017),32.5
Zach Johnson (2017),32.58
Tim Wilkinson (2017),32.58
Ryan Moore (2017),32.58
Billy Hurley III (2017),32.58
Adam Hadwin (2017),32.58
Russell Henley (2017),32.58
Bryson DeChambeau (2017),32.58
D.A. Points (2017),32.67
Jimmy Walker (2017),32.67
Seung-Yul Noh (2017),32.67
Charley Hoffman (2017),32.83
Francesco Molinari (2017),32.83
Sung Kang (2017),32.83
Brian Gay (2017),32.92
John Huh (2017),32.92
J.J. Henry (2017),33
Branden Grace (2017),33
Jason Day (2017),33.08
Harris English (2017),33.08
Patrick Cantlay (2017),33.08
Kelly Kraft (2017),33.08
J.J. Spaun (2017),33.08
Chris Stroud (2017),33.17
Scott Brown (2017),33.17
Kevin Tway (2017),33.17
Dominic Bozzelli (2017),33.17
Zac Blair (2017),33.17
Phil Mickelson (2017),33.25
Ian Poulter (2017),33.25
Billy Horschel (2017),33.25
Mark Anderson (2017),33.25
Peter Malnati (2017),33.25
Ken Duke (2017),33.33
Rory McIlroy (2017),33.33
Jason Kokrak (2017),33.33
Xander Schauffele (2017),33.33
Matt Kuchar (2017),33.42
Adam Scott (2017),33.42
Carl Pettersson (2017),33.42
Graeme McDowell (2017),33.42
Whee Kim (2017),33.42
Brian Harman (2017),33.5
C.T. Pan (2017),33.5
Charles Howell III (2017),33.58
Bill Haas (2017),33.58
Bubba Watson (2017),33.58
Ryan Blaum (2017),33.58
Cameron Tringale (2017),33.58
Søren Kjeldsen (2017),33.67
K.J. Choi (2017),33.67
Sean O'Hair (2017),33.75
Daniel Summerhays (2017),33.75
Brandt Snedeker (2017),33.75
Ryan Brehm (2017),33.75
Brandon Hagy (2017),33.75
Ben Crane (2017),33.83
Chad Collins (2017),33.83
Roberto Castro (2017),33.83
Michael Thompson (2017),33.92
Jhonattan Vegas (2017),34
Jamie Lovemark (2017),34
Byeong Hun An (2017),34
Robert Streb (2017),34
Geoff Ogilvy (2017),34.08
Spencer Levin (2017),34.08
Jim Herman (2017),34.08
James Hahn (2017),34.08
David Lingmerth (2017),34.08
Gonzalo Fernandez-Castaño (2017),34.17
Miguel Angel Carballo (2017),34.17
Fabián Gómez (2017),34.17
William McGirt (2017),34.17
Cody Gribble (2017),34.17
Louis Oosthuizen (2017),34.25
Martin Laird (2017),34.42
Patrick Rodgers (2017),34.42
Nick Taylor (2017),34.5
Rafa Cabrera Bello (2017),34.5
Kyle Reifers (2017),34.5
Matt Jones (2017),34.75
Charl Schwartzel (2017),34.75
Rod Pampling (2017),35
Luke Donald (2017),35
Steve Wheatcroft (2017),35
Jonas Blixt (2017),35.08
Mackenzie Hughes (2017),35.08
Jonathan Randolph (2017),35.17
Pat Perez (2017),35.25
Patrick Reed (2017),35.25
Bryce Molder (2017),35.58
Morgan Hoffmann (2017),35.58
Si Woo Kim (2017),35.83
Ernie Els (2017),35.92
Greg Chalmers (2017),36.17
Aaron Baddeley (2017),36.5
Hunter Mahan (2017),36.83
Steven Bowditch (2017),37.08
David Hearn (2018),29.25
Brooks Koepka (2018),29.58
Conrad Shindler (2018),29.67
Rory McIlroy (2018),29.83
Dustin Johnson (2018),30.08
Kevin Na (2018),30.17
Shawn Stefani (2018),30.33
Gary Woodland (2018),30.42
Justin Thomas (2018),30.5
Tom Hoge (2018),30.58
Paul Casey (2018),30.67
Zach Johnson (2018),30.75
Nick Watney (2018),30.75
Tiger Woods (2018),30.75
Chesson Hadley (2018),30.75
Sam Ryder (2018),30.75
Wesley Bryan (2018),30.75
Blayne Barber (2018),30.83
Kyle Thompson (2018),30.83
Keegan Bradley (2018),30.83
Sung Kang (2018),30.83
Chris Kirk (2018),30.92
Robert Garrigus (2018),30.92
Vaughn Taylor (2018),31
Nate Lashley (2018),31
Whee Kim (2018),31
Kyle Stanley (2018),31.08
Chez Reavie (2018),31.08
Jim Furyk (2018),31.17
Ryan Palmer (2018),31.17
Patton Kizzire (2018),31.17
J.J. Spaun (2018),31.17
Patrick Cantlay (2018),31.25
Phil Mickelson (2018),31.25
Cameron Percy (2018),31.33
Emiliano Grillo (2018),31.33
Rickie Fowler (2018),31.33
Byeong Hun An (2018),31.33
Andrew Landry (2018),31.42
Satoshi Kodaira (2018),31.42
Tony Finau (2018),31.42
Rafa Cabrera Bello (2018),31.42
Lanto Griffin (2018),31.42
Corey Conners (2018),31.42
Charley Hoffman (2018),31.5
Chad Campbell (2018),31.5
J.J. Henry (2018),31.5
Hideki Matsuyama (2018),31.5
Kevin Chappell (2018),31.67
Keith Mitchell (2018),31.67
Talor Gooch (2018),31.75
Tyrone Van Aswegen (2018),31.75
Stewart Cink (2018),31.75
Ricky Barnes (2018),31.75
Matt Every (2018),31.83
Webb Simpson (2018),31.83
Russell Knox (2018),31.83
Jordan Spieth (2018),31.83
Harold Varner III (2018),31.83
Ben Silverman (2018),31.92
Bryson DeChambeau (2018),31.92
Fabián Gómez (2018),32
William McGirt (2018),32
Francesco Molinari (2018),32
Justin Rose (2018),32
Louis Oosthuizen (2018),32.08
Brian Stuard (2018),32.08
Danny Lee (2018),32.17
Ryan Moore (2018),32.17
Matt Kuchar (2018),32.25
Sam Saunders (2018),32.25
J.T. Poston (2018),32.25
Richy Werenski (2018),32.25
Kelly Kraft (2018),32.25
Mackenzie Hughes (2018),32.33
Nicholas Lindheim (2018),32.33
Tyler Duncan (2018),32.33
Tom Lovelady (2018),32.33
Anirban Lahiri (2018),32.33
Adam Scott (2018),32.33
Ryan Armour (2018),32.33
Johnson Wagner (2018),32.33
Rob Oppenheim (2018),32.33
Steve Wheatcroft (2018),32.42
Henrik Stenson (2018),32.42
James Hahn (2018),32.42
Bronson Burgoon (2018),32.42
Brice Garnett (2018),32.42
Brandon Harkins (2018),32.42
Billy Hurley III (2018),32.5
Alex Cejka (2018),32.5
Jimmy Walker (2018),32.58
Jason Kokrak (2018),32.58
Kevin Tway (2018),32.58
Joel Dahmen (2018),32.58
Cameron Tringale (2018),32.58
Xander Schauffele (2018),32.58
David Lingmerth (2018),32.67
Shane Lowry (2018),32.67
Russell Henley (2018),32.75
Grayson Murray (2018),32.75
Martin Laird (2018),32.75
Patrick Reed (2018),32.75
Ollie Schniederjans (2018),32.75
Robert Streb (2018),32.83
Kevin Streelman (2018),32.83
Hudson Swafford (2018),32.83
Michael Thompson (2018),32.92
Brett Stegmaier (2018),32.92
"Ted Potter, Jr. (2018)",32.92
Ian Poulter (2018),32.92
Dominic Bozzelli (2018),32.92
Daniel Berger (2018),33
Abraham Ancer (2018),33
Si Woo Kim (2018),33
Kiradech Aphibarnrat (2018),33
Scott Brown (2018),33
Martin Flores (2018),33.08
Jason Day (2018),33.08
Branden Grace (2018),33.08
Tommy Fleetwood (2018),33.17
Billy Horschel (2018),33.17
Pat Perez (2018),33.17
Nick Taylor (2018),33.17
Michael Kim (2018),33.17
