Golfer,Year,Player,AvgApproachGT100,AvgApproachLT100,AvgBallSpeed,AvgClubheadSpeed,LaunchAngle,ProxToHoleARG,Putt10_15Made,Putt15_20Made,PuttGT20Made,PuttLT10Made,SandSave,SpinRateOTT,Winner,StrokeAverage
Branden Grace,2017,Branden Grace (2017),33,17.58,173.05,115.63,7.92,7.17,28.95,15.31,5.9,86.1,50.51,3117.6,0,70.862
Branden Grace,2018,Branden Grace (2018),33.08,16.92,173.69,115.23,9.87,7.75,36,19.32,6.85,87.45,47.46,2664.6,0,70.412
Branden Grace,2019,Branden Grace (2019),32.92,17.08,172.89,115.22,8.71,6.5,29.06,14.49,7.32,85.12,50,2610.8,0,71.421
Brandon Hagy,2017,Brandon Hagy (2017),33.75,18.58,186.79,126.49,9.37,7.58,35.24,12.23,6.05,88.52,54.69,2808.2,0,70.875
Brandon Harkins,2018,Brandon Harkins (2018),32.42,15.5,175.21,116.76,10.4,8.17,33.33,18.08,8.33,87.32,53.42,2801.2,0,70.721
Brandon Harkins,2019,Brandon Harkins (2019),32.33,15.92,175,116.44,8.9,7.67,31.82,13.87,6.44,85.2,48.65,2514.2,0,71.519
Brandt Snedeker,2015,Brandt Snedeker (2015),33.33,14.25,165.38,110.67,10.47,6.58,35.71,19.15,8.73,89.34,59.04,2614,1,70.158
Brandt Snedeker,2016,Brandt Snedeker (2016),33.75,15.5,165.92,111.96,11.63,6.83,35.2,24.46,6.12,88.33,57.14,2606.6,0,70.203
Brandt Snedeker,2017,Brandt Snedeker (2017),33.75,17.92,164.93,112.3,11.18,7.75,28.47,19.77,10.82,88.77,56.25,2808.6,0,70.055
Brandt Snedeker,2018,Brandt Snedeker (2018),33.75,14.17,165.37,111.12,10.83,7.92,31.22,25,9.46,87.58,56.67,2584.6,1,70.379
Brandt Snedeker,2019,Brandt Snedeker (2019),35.17,16.25,163.19,109.96,10.62,6.42,32.24,22.9,6.78,90.23,62.29,2639,0,70.521
Brendan Steele,2015,Brendan Steele (2015),32.5,18.25,175.33,118.01,10.98,7.58,31.43,21.09,6.24,87.15,51.75,2546.4,0,70.413
Brendan Steele,2016,Brendan Steele (2016),31.08,18.42,175.8,118.29,10.13,8,26.18,16.18,5.71,86.45,55.96,2419.9,1,70.855
Brendan Steele,2017,Brendan Steele (2017),32.08,16.67,174.68,117.37,9.92,7.67,35.29,17.04,7.52,86.03,43.33,2511.8,1,70.503
Brendan Steele,2018,Brendan Steele (2018),34.42,18.58,174.55,116.88,10.1,8.58,27.08,12.04,5.61,84.54,48,2521.7,1,71.021
Brendan Steele,2019,Brendan Steele (2019),32.42,17.25,171.49,115.1,9.74,8.08,27.27,16.07,7.65,86.82,38.95,2627,0,71.893
Brendon Todd,2015,Brendon Todd (2015),32.83,16.08,157.94,106.8,10.89,6.33,36.27,16.15,7.45,90.39,61.9,2552.2,0,70.533
Brendon Todd,2016,Brendon Todd (2016),38.17,16,157.87,107.49,11.1,7.17,31.51,20.62,8.73,88.57,59.48,2521.2,0,72.728
Brendon de Jonge,2015,Brendon de Jonge (2015),32.92,17.08,167.28,113.62,8.99,7.67,27.5,20.63,5.92,88.12,45.28,3117.3,0,70.642
Brendon de Jonge,2016,Brendon de Jonge (2016),33.67,16,165.47,112.57,9.67,8.75,33.68,13.64,5.6,88.51,52.71,2840.4,0,71.603
Brett Drewitt,2017,Brett Drewitt (2017),31.08,18.92,168.4,114.35,8.82,7.17,29,15.63,6.84,85.44,50,2703.5,0,72.13
Brett Stegmaier,2016,Brett Stegmaier (2016),31.75,18,169.03,112.34,12.88,7.92,26.46,10.57,7.71,87.96,41.18,2426.3,0,70.995
Brett Stegmaier,2017,Brett Stegmaier (2017),31.67,20.42,165.82,110.74,13.4,7.75,32.56,15.13,6.02,85.53,44.57,2297.2,0,72.115
Brett Stegmaier,2018,Brett Stegmaier (2018),32.92,16.58,166.03,110.85,13.15,8.33,35.76,17.05,7.98,89.49,48.28,2219.9,0,71.191
Brian Campbell,2017,Brian Campbell (2017),32.17,20.75,172.44,117.31,8.54,8.17,31.93,26.32,5.63,88.32,57.14,2974.8,0,71.924
Brian Davis,2015,Brian Davis (2015),33.75,17.83,157.1,105.49,12.8,7.25,35.45,21.83,7.22,86.18,54.14,2490.2,0,71.656
Brian Gay,2017,Brian Gay (2017),32.92,14.83,158.15,106.62,12.16,6.83,32.67,20.16,8.18,89.27,54.17,2463.2,0,70.585
Brian Gay,2018,Brian Gay (2018),33.25,14.33,157.17,105.76,13.94,7.42,32.38,19.46,9.01,88.41,53.1,2339.9,0,70.28
Brian Gay,2019,Brian Gay (2019),34.92,17.58,159.76,106.7,14.1,7.67,35.14,21.53,6.03,88.05,48.25,2475.7,0,71.356
Brian Harman,2015,Brian Harman (2015),32.83,17.5,163.14,110.24,12,7.17,31.31,13.92,8.33,88.83,55.8,2281.4,0,70.647
Brian Harman,2016,Brian Harman (2016),34.25,16.83,162.94,110.49,11.45,7.42,35.32,19.02,6.12,89.19,55.26,2212.6,1,70.996
Brian Harman,2017,Brian Harman (2017),33.5,17.25,163.3,109.35,12.26,7.17,36,18.33,7.17,90.04,58.7,2265.8,1,70.402
Brian Harman,2018,Brian Harman (2018),34,17.83,164.02,109.93,12.31,7.67,30.93,20.57,10.44,87.41,47.22,2509.7,0,70.536
Brian Harman,2019,Brian Harman (2019),32.75,18.33,164.91,110.47,10.97,6.92,26.11,15.92,5.29,90.55,58.45,2552.3,0,71.016
