Player,StrokeAverage
Tom Hoge (2016),71.444
Geoff Ogilvy (2016),71.464
Jeff Overton (2016),71.466
Steve Marino (2016),71.467
Whee Kim (2016),71.472
Zac Blair (2016),71.49
Scott Pinckney (2016),71.524
Chad Collins (2016),71.532
Chesson Hadley (2016),71.541
Brendon de Jonge (2016),71.603
Rod Pampling (2016),71.607
Jason Gore (2016),71.627
D.A. Points (2016),71.655
Troy Merritt (2016),71.674
Greg Owen (2016),71.677
Andres Gonzales (2016),71.681
Peter Malnati (2016),71.686
Hiroshi Iwata (2016),71.693
Wes Roach (2016),71.7
Cameron Smith (2016),71.759
Scott Langley (2016),71.796
Martin Piller (2016),71.813
George McNeill (2016),71.848
Ken Duke (2016),71.88
Erik Compton (2016),71.884
Carlos Ortiz (2016),71.906
J.J. Henry (2016),72.019
Derek Ernst (2016),72.075
Rhein Gibson (2016),72.086
Dicky Pride (2016),72.102
Hunter Mahan (2016),72.105
Abraham Ancer (2016),72.137
Ángel Cabrera (2016),72.175
Rory Sabbatini (2016),72.451
Brendon Todd (2016),72.728
Robert Allenby (2016),73.117
D.H. Lee (2016),73.415
Steven Bowditch (2016),74.262
Jordan Spieth (2017),68.846
Rickie Fowler (2017),69.083
Justin Thomas (2017),69.359
Marc Leishman (2017),69.468
Paul Casey (2017),69.469
Rory McIlroy (2017),69.529
Dustin Johnson (2017),69.549
Jon Rahm (2017),69.561
Sergio Garcia (2017),69.596
Hideki Matsuyama (2017),69.624
Justin Rose (2017),69.699
Francesco Molinari (2017),69.802
Matt Kuchar (2017),69.806
Brooks Koepka (2017),69.847
Patrick Cantlay (2017),69.971
Tony Finau (2017),69.987
Kyle Stanley (2017),69.989
Adam Scott (2017),69.996
Bill Haas (2017),70.011
Webb Simpson (2017),70.018
Russell Henley (2017),70.027
Ian Poulter (2017),70.045
Brandt Snedeker (2017),70.055
Jason Day (2017),70.115
Daniel Berger (2017),70.121
Lucas Glover (2017),70.139
Xander Schauffele (2017),70.163
Phil Mickelson (2017),70.168
Charl Schwartzel (2017),70.211
Stewart Cink (2017),70.213
Louis Oosthuizen (2017),70.22
Chez Reavie (2017),70.244
Pat Perez (2017),70.25
Jason Dufner (2017),70.259
Kevin Kisner (2017),70.294
Charley Hoffman (2017),70.351
Charles Howell III (2017),70.371
Graham DeLaet (2017),70.376
Jamie Lovemark (2017),70.391
Zach Johnson (2017),70.393
Kevin Na (2017),70.399
Brian Harman (2017),70.402
Luke List (2017),70.428
Bud Cauley (2017),70.432
Keegan Bradley (2017),70.437
Martin Laird (2017),70.45
Patrick Reed (2017),70.453
Gary Woodland (2017),70.482
Sung Kang (2017),70.496
Brendan Steele (2017),70.503
Chad Campbell (2017),70.509
Seamus Power (2017),70.543
Adam Hadwin (2017),70.583
Brian Gay (2017),70.585
Hudson Swafford (2017),70.618
Graeme McDowell (2017),70.629
J.B. Holmes (2017),70.66
Shane Lowry (2017),70.667
Nick Watney (2017),70.685
Rafa Cabrera Bello (2017),70.693
Robert Streb (2017),70.7
Ollie Schniederjans (2017),70.704
Michael Kim (2017),70.707
Robert Garrigus (2017),70.712
Matt Jones (2017),70.719
Ryan Moore (2017),70.741
David Lingmerth (2017),70.755
Russell Knox (2017),70.765
Kevin Chappell (2017),70.779
Emiliano Grillo (2017),70.798
Anirban Lahiri (2017),70.799
Sean O'Hair (2017),70.801
Scott Stallings (2017),70.811
Chris Stroud (2017),70.815
Nick Taylor (2017),70.817
Luke Donald (2017),70.831
Billy Horschel (2017),70.832
Harris English (2017),70.848
John Huh (2017),70.851
Danny Lee (2017),70.86
Branden Grace (2017),70.862
Ryan Blaum (2017),70.866
Bryson DeChambeau (2017),70.866
Kevin Tway (2017),70.868
Kevin Streelman (2017),70.873
Brandon Hagy (2017),70.875
Camilo Villegas (2017),70.881
Rory Sabbatini (2017),70.883
Martin Flores (2017),70.885
Byeong Hun An (2017),70.887
Cameron Smith (2017),70.909
Sam Saunders (2017),70.921
James Hahn (2017),70.925
Jim Herman (2017),70.931
Scott Brown (2017),70.932
Tim Wilkinson (2017),70.95
Ben Martin (2017),70.954
Seung-Yul Noh (2017),70.955
Jason Kokrak (2017),70.961
Whee Kim (2017),70.964
Ryan Armour (2017),70.965
Harold Varner III (2017),70.966
J.T. Poston (2017),70.982
Shawn Stefani (2017),70.983
J.J. Spaun (2017),70.999
Zac Blair (2017),71.007
Trey Mullinax (2017),71.027
Cameron Percy (2017),71.03
Vaughn Taylor (2017),71.044
Mackenzie Hughes (2017),71.044
Jhonattan Vegas (2017),71.054
Geoff Ogilvy (2017),71.056
Wesley Bryan (2017),71.062
Grayson Murray (2017),71.064
Jim Furyk (2017),71.071
Ben Crane (2017),71.091
David Hearn (2017),71.107
Morgan Hoffmann (2017),71.107
C.T. Pan (2017),71.109
Andres Gonzales (2017),71.112
Ryan Palmer (2017),71.116
William McGirt (2017),71.151
Jimmy Walker (2017),71.155
Blayne Barber (2017),71.163
J.J. Henry (2017),71.164
Richy Werenski (2017),71.171
Bubba Watson (2017),71.175
Tag Ridings (2017),71.176
Billy Hurley III (2017),71.176
Ryan Brehm (2017),71.178
Tyrone Van Aswegen (2017),71.181
Daniel Summerhays (2017),71.197
Michael Thompson (2017),71.207
Ricky Barnes (2017),71.221
Scott Piercy (2017),71.235
Chris Kirk (2017),71.255
Sebastián Muñoz (2017),71.263
